CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Identificacao_Valor_Mobiliario;Pais_Negociacao;Mercado;Administradora;Data_Emissao;Data_Inicio_Listagem;Percentual;Descricao_Segmento;Descricao_Proporcao_Certificado;Descricao_Banco_Depositario;Descricao_Instituicao_Custodiante
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;ADR - BDORY;Letra Financeira;Estados Unidos;Secundário;SEC - Securities and Exchange Commission;2009-11-10;2009-12-02;1.380470;Segmento de Balcão;1:1 (1 ADR pra cada Ação Ordinária);The Bank of New York Mellon;Banco do Brasil S.A.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Bônus Perpétuo 2012;Letra Financeira;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2012-01-20;2012-01-20;0.000000;Euro MTF;;;Bank of New York Mellon
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Bônus Perpétuo 2012(Reabertura);Letra Financeira;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2012-03-05;2012-03-05;0.000000;Euro MTF;;;Bank of New York Mellon
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Bônus Perpétuo 2013;Letra Financeira;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2013-01-31;2013-01-31;0.000000;Euro MTF;;;Bank of New York Mellon
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Dívida Sênior;Letra Financeira;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2012-10-10;2012-10-10;0.000000;Euro MTF;;;The Bank of New York Mellon
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Dívida Subordinada Nível 2;Letra Financeira;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2010-10-05;2010-10-05;0.000000;Euro MTF;;;Deutsche Bank Trust Company Americas
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Dívida Subordinada Nível 2;Letra Financeira;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2011-05-26;2011-05-26;0.000000;Euro MTF;;;The Bank of New York Mellon
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Dívida Subordinada Nível 2;Letra Financeira;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2012-06-19;2012-06-19;0.000000;Euro MTF;;;The Bank of New York Mellon
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Dívida Sênior - EMTN 2017-1;Letra Financeira;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2017-10-23;2017-10-23;0.000000;Euro MTF;;;Deutsche Bank Trust Company Americas
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Dívida Sênior - EMTN 2018-3;Letra Financeira;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2018-04-19;2018-04-19;0.000000;Euro MTF;;;Deutsche Bank Trust Company Americas
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;GMTN - Série 20;Letra Financeira;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2013-12-20;2013-12-20;0.000000;Euro MTF;;;The Law Debenture Trust Corporation PLC
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;IECE - Bônus Perpétuo 2014;Letra Financeira;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2014-06-18;2014-06-18;0.000000;Euro MTF;;;Bank of New York Mellon
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Dívida Sênior - EMTN 2019-1;Letra Financeira;Luxemburgo;Secundário - Balcão;The Luxembourg Stock Exchange;2019-03-13;2019-03-13;0.000000;Euro MTF;;;Deutsche Bank
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;American Depositary Receipts;ADR;Estados Unidos;NYSE;Bolsa de Nova York;2008-10-31;2008-10-31;17.640000;;;Citibank NA;Citibank NA
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ações;Xelto e Xeltb;Espanha;Mercado de Ações de Empresas Latino-americanas negociadas em euros - Latibex;Bolsa de Valores de Madri;2000-04-18;2000-04-18;0.010000;;;;
00.545.378/0001-70;2021-01-01;2;105553;SERRA AZUL WATER PARK SA;Não aplicável;Não aplicável;Estados Unidos;Não aplicável;Não aplicável;2018-01-01;2018-01-01;0.000000;Não aplicável;Não aplicável;Não aplicável;Não aplicável
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Global Depositary Receipts (GDR);Global Depositary Receipts (GDR);Estados Unidos;Balcão;SEC;2007-03-31;2007-03-31;0.000000;;;;
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Senior Notes;Bond B2W Digital Lux - ISIN US05609AAA97 (Reg S) e USL0527QAA15 (144A);Luxemburgo;Singapore Exchange Securities Trading Limited (SGX-ST);Singapore Exchange Securities Trading Limited (SGX-ST);2020-11-24;2020-11-24;100.000000;;;;
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Ações;Ações;Estados Unidos;Secundário;Over-The-Counter OTCQX;2010-03-01;2010-03-01;1.800000;Balcão;1:1 uma ADR para cada ação ordinária;JP Morgan Chase Bank;Banco Bradesco S.A.
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;American Depositary Receipts;GFSAY;Estados Unidos;Mercado Balcão Over-The-Counter;Mercado Balcão Over-The-Counter;2018-12-15;2018-12-15;12.430000;;3.037.870 ADR, 1 ADR = 2 GFSA3;Citibank, N.A.;Banco Itaú S.A.
01.838.723/0001-27;2021-01-01;11;111776;BRF S.A.;ADR;BRF5;Estados Unidos;Bolsa de Valores de Nova York (NYSE);Bolsa de Valores de Nova York (NYSE);1996-10-01;2000-10-20;32.250000;ADRs listados na Bolsa de Valores de Nova York (NYSE);Cada 1 ADR representa 1 ação ordinária;The Bank of New York Mellon;Itaú Unibanco
01.957.772/0001-89;2021-01-01;2;105881;SUL 116 PARTICIPACOES S.A.;N/A;N/A;Brasil;N/A;N/A;2018-01-01;2018-12-31;0.000000;;;;
02.201.787/0001-85;2021-01-01;1;105190;CEL PARTICIPAÇÕES S.A. - CELPAR;N/A;N/A;Brasil;N/A;N/A;1997-09-10;1997-09-10;0.000000;;;;
