CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;828921;15206;1159;1420530937;49.575000;0;0.000000;1420530937;49.575000;2021-04-28
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2646;34;0;39346566;14.050000;2605590;3.150000;41952156;11.560000;2021-12-17
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;122540;9677;953;358028908;27.779103;243134047;86.809000;601162955;38.317000;2021-04-27
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1023;73;11;2444275;6.804606;11864425;32.809980;14308700;19.850610;2021-10-25
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;8;4;0;0;0.000000;0;0.000000;0;0.000000;2021-05-03
00.192.769/0001-59;2021-01-01;1;105168;NEUMARKT TRADE AND FINANCIAL CENTER S/A;0;1;0;0;0.000000;0;0.000000;0;0.000000;2014-08-29
00.194.724/0001-13;2021-01-01;4;113341;AUREN OPERAÇÕES S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2021-05-13
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;4;0;1;170115256;49.200455;0;0.000000;170115256;49.200455;2021-07-21
00.272.185/0001-93;2021-01-01;2;111834;CIMS S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2022-02-09
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;7543;1532;75;928969;1.878200;2167691;11.776100;3096660;4.562900;2020-07-27
00.359.742/0001-08;2021-01-01;4;113894;FICTOR ALIMENTOS S.A.;5707;26;0;6355462;30.410372;0;0.000000;6355462;30.410372;2021-03-31
00.383.281/0001-09;2021-01-01;11;113008;BNDES PARTICIPACOES S.A. - BNDESPAR;0;1;0;0;0.000000;0;0.000000;0;0.000000;2019-04-30
00.389.481/0001-79;2021-01-01;3;114534;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;2;1;0;0;0.000000;0;0.000000;0;0.000000;2022-01-03
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;176796;495;1386;597833762;46.222818;1155705869;89.922108;1753539631;68.003457;2021-08-10
00.545.378/0001-70;2021-01-01;2;105553;SERRA AZUL WATER PARK SA;0;0;2;29188116;100.000000;0;0.000000;29188116;100.000000;2010-04-30
00.622.416/0001-41;2021-01-01;12;113936;STATKRAFT ENERGIAS RENOVAVEIS S.A.;0;2;0;0;0.000000;0;0.000000;0;0.000000;2018-12-14
00.644.907/0001-93;2021-01-01;1;105249;INVESTCO S.A.;30;15;0;402202302;51.140000;384203962;48.860000;786406264;100.000000;2021-04-28
00.743.065/0001-27;2021-01-01;3;114240;LITEL PARTICIPACOES S.A.;0;3;1;215495403;0.000000;0;0.000000;215495403;100.000000;2019-09-09
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;146366;2089;563;596086291;65.712180;0;0.000000;596086291;65.712180;2022-04-29
00.864.214/0001-06;2021-01-01;13;115599;ENERGISA S.A.;20735;528;1108;249268674;33.020357;993910757;94.283908;1243179431;68.719563;2021-04-28
