CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Titulo_Conversivel_Acao;Condicoes_Conversao
02.773.542/0001-22;2021-01-01;10;115903;OPEA SECURITIZADORA S.A.;263351;NÃO HÁ;Não aplicável
03.758.318/0001-24;2021-01-01;18;114636;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;260644;DEBÊNTURES - 3ª EMISSÃO;As condições para conversão estão informadas no item 18.5 deste Formulário de Referência.
03.758.318/0001-24;2021-01-01;18;114636;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;260644;DEBÊNTURES - 5º EMISSÃO;As condições para conversão estão informadas no item 18.5 deste Formulário de Referência.
04.370.282/0001-70;2021-01-01;8;114635;COPEL GERAÇÃO E TRANSMISSÃO S.A.;260638;NÃO HÁ CONVERSÕES EM AÇÕES;Não há conversões em ações
07.047.251/0001-70;2021-01-01;10;115686;CIA ENERGETICA DO CEARA - COELCE;262821;AÇÕES PREFERENCIAIS CLASSE B;Nos termos do artigo 5º, parágrafo segundo, do estatuto social da Companhia, as ações preferenciais Classe B poderão ser convertidas em ações preferenciais Classe A, a requerimento do interessado.
07.047.251/0001-70;2021-01-01;10;115686;CIA ENERGETICA DO CEARA - COELCE;262824;AÇÕES PREFERENCIAIS CLASSE B;Nos termos do artigo 5º, parágrafo segundo, do estatuto social da Companhia, as ações preferenciais Classe B poderão ser convertidas em ações preferenciais Classe A, a requerimento do interessado.
08.493.364/0001-62;2021-03-31;1;97988;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;219141;BÔNUS DE SUBSCRIÇÃO;A qualquer momento a partir da data de um Evento de Potencial Exercício (em geral um evento de liquidez), em que os Recursos Qualificados excedam o Mínimo Retorno sobre o Investimento da ZAM Ventures LP. Os termos em maiúsculas estão definidos no certificado do bônus de subscrição, disponível no site da CVM.
09.095.183/0001-40;2021-01-01;5;115430;ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A;261957;NÃO SE APLICA.;Não se aplica.
10.139.870/0001-08;2021-01-01;9;115934;NEOGRID PARTICIPAÇÕES S.A.;263447;PLANO DE OUTORGA DE OPÇÃO DE;Vide itens 13.4 e 17.5.
13.017.462/0001-63;2021-01-01;5;115432;ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A;261962;NÃO SE APLICA.;Não se aplica.
