CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Aumento;Data_Deliberacao;Orgao_Deliberacao_Aumento;Data_Emissao;Valor_Total_Emissao;Tipo_Subscricao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes;Subscricao_Capital_Anterior;Fator_Cotacao;Preco_Emissao;Criterio_Determinacao_Preco_Emissao;Forma_Integralizacao
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;342575;2020-12-09;Assembleia Geral Extraordinária (AGE);;23475.34;Subscrição particular;425;0;425;0.00000261;R$ por Unidade;52.16000000;Laudos de avaliação que serviram de base para fixação dos valores das empresas e a relação de substituição das ações envolvidas na operação.;Incorporação de R$ 23.475,34 em consequência da versão da participação dos minoritários no patrimônio líquido da Bescval.
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;341670;2020-08-03;Assembleia Geral Extraordinária;;400000000.00;Sem emissão de ações;0;0;0;0.00000000;R$ por Unidade;0.00000000;;
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;330895;2019-11-14;Assembleia Geral Extraordinária;2019-11-14;7751940082.78;Subscrição particular;201792299;0;0;0.00000000;R$ por Unidade;35.72000000;O preço de emissão foi calculado com base preço de mercado das ações ordinárias e preferenciais da Companhia, de acordo com o artigo 170, §1º, inciso III da Lei das Sociedades por Ações.;Dinheiro e créditos (no caso da União, créditos relativos a adiantamento para futuro aumento de capital e, no caso de acionistas, facultado àqueles que detinham créditos de dividendos declarados e não pagos o uso de tais créditos). O aumento de capital foi homologado em Assembleia geral extraordinária da Companhia em 17 de fevereiro de 2020.
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;330896;2019-11-14;Assembleia Geral Extraordinária;2019-11-14;7751940082.78;Subscrição particular;0;14504511;0;0.00000000;R$ por Unidade;37.50000000;Dinheiro e créditos (no caso da União, créditos relativos a adiantamento para futuro aumento de capital e, no caso de acionistas, facultado àqueles que detinham créditos de dividendos declarados e não pagos o uso de tais créditos). O aumento de capital foi homologado em Assembleia geral extraordinária da Companhia em 17 de fevereiro de 2020.;O preço de emissão foi calculado com base preço de mercado das ações ordinárias e preferenciais da Companhia, de acordo com o artigo 170, §1º, inciso III da Lei das Sociedades por Ações.
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;337897;2014-11-27;82a. AGE;2014-12-08;223969190.00;Subscrição particular;2607746;2625179;5232925;56.98208000;R$ por Unidade;42.80000000;Média entre valor ecônomico da ação e valor patrimonial.;Créditos de capitais - AFAC - do Governo do Distrito Federal e da Cia Imobiliária de Brasília - TERRACAP
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;332712;2018-04-12;AGOE;2018-04-12;31206375.03;Subscrição particular;24444000;0;24444000;0.00000000;R$ por Unidade;0.00000000;;Capitalização da reserva de incentivos fiscais, sem emissão de novas ações.
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;332713;2019-04-12;AGOE;2019-04-12;132801381.12;Subscrição particular;24444000;0;24444000;0.00000000;R$ por Unidade;0.00000000;;Capitalização da reserva de subvenções, sem emissão de novas ações.
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;332714;2020-04-17;AGOE;2020-04-17;229507777.46;Subscrição particular;24444000;0;24444000;0.00000000;R$ por Unidade;0.00000000;;Capitalização da reserva de subvenções, sem emissão de novas ações.
00.194.724/0001-13;2021-01-01;4;113341;AUREN OPERAÇÕES S.A.;335594;2021-05-13;Assembleia Geral Extraordinária;2021-11-30;1765947667.66;Subscrição particular;1993175982;0;1993175982;749.35168875;R$ por Unidade;0.88599000;O valor da emissão foi estabelecido de acordo com laudo de avaliação, elaborado, com base nas demonstrações financeiras da AES Tietê referentes ao exercício social encerrado em 31 de dezembro de 2020, por auditor independente contratado para proceder à avaliação e determinar o valor patrimonial da AES Tietê Energia S.A., que foi incorporada pela Companhia, conforme aprovado pela Assembleia Geral Extraordinária realizada em 13 de maio de 2021, conforme rerratificado pela Assembleia Geral Extraordinária realizada em 9 de dezembro de 2021.;A integralização se derá no âmbito da incorporação da AES Tietê pela Companhia aprovada pela Assembleia Geral Extraordinária realizada em 13 de maio de 2021, a ser realizada nos termos do Protocolo e Justificação de Incorporação da AES Tietê Energia S.A. pela AES Brasil Operações S.A. ("Protocolo"). A Companhia esclarece que a efetiva emissão das ações está sujeita à conclusão da referida incorporação, que, por sua vez, está sujeita a determindas condições suspensivas previstas no Protocolo.
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;341068;2020-03-17;5ª ACS e Instrumento de Transformação em S.A. da Armac Locação, Logística e Serviços Ltda.;2020-03-17;474938.00;Subscrição particular;474938;0;474938;206.49478261;R$ por Unidade;1.00000000;Valor Patrimonial;Aporte de capital em moeda corrente nacional
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;341069;2020-06-08;Assembleia Geral Extraordinária;2020-06-08;75500000.00;Subscrição particular;266101;0;266101;10710.16144720;R$ por Unidade;75500000.00000000;Calculado de acordo com o disposto no Art. 170, §1º, inciso I da Lei das Sociedades por Ações.;Aporte de capital em moeda corrente nacional
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;341070;2021-02-04;Assembleia Geral Extraordinária;2021-02-04;50404900.54;Subscrição particular;176226;0;176226;66.14387711;R$ por Unidade;286.02000000;Calculado de acordo com o disposto no Art. 170, §1º, inciso I da Lei das Sociedades por Ações.;Aporte de capital em moeda corrente nacional
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;341071;2021-05-07;Assembleia Geral Extraordinária;2021-05-07;35.25;Subscrição particular;35245;0;35245;3.07208883;R$ por Lote de Mil;1.00000000;Calculado conforme condições descritas nos Bônus de Subscrição Série C emitido pela Companhia em 04/02/2021.;Aporte de capital em moeda corrente nacional
