CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Aumento;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;337897;Preferencial Classe B;2625179
00.272.185/0001-93;2021-01-01;2;111834;CIMS S.A.;332598;Preferencial Classe A;0
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;341878;Preferencial Classe A;0
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;341879;Preferencial Classe A;8074780
00.864.214/0001-06;2021-01-01;13;115599;ENERGISA S.A.;341735;Preferencial Classe A;0
00.864.214/0001-06;2021-01-01;13;115599;ENERGISA S.A.;341736;Preferencial Classe A;0
02.643.896/0001-52;2021-01-01;1;105291;REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.;313450;Preferencial Classe A;10
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;340869;Preferencial Classe B;32667
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;340870;Preferencial Classe B;69167
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;340871;Preferencial Classe B;133333
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;340872;Preferencial Classe B;33333
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;340874;Preferencial Classe B;66667
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;340875;Preferencial Classe B;333333
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;340876;Preferencial Classe B;180000
04.031.213/0001-31;2021-01-01;4;115009;CACONDE PARTICIPACOES S.A.;340852;Preferencial Classe B;60000
04.031.213/0001-31;2021-01-01;4;115009;CACONDE PARTICIPACOES S.A.;340853;Preferencial Classe B;33333
04.031.213/0001-31;2021-01-01;4;115009;CACONDE PARTICIPACOES S.A.;340855;Preferencial Classe B;66667
04.031.213/0001-31;2021-01-01;4;115009;CACONDE PARTICIPACOES S.A.;340857;Preferencial Classe B;180000
04.038.763/0001-82;2021-01-01;5;115010;CAIANDA PARTICIPACOES S.A.;340858;Preferencial Classe B;63333
04.038.763/0001-82;2021-01-01;5;115010;CAIANDA PARTICIPACOES S.A.;340859;Preferencial Classe B;37333
04.038.763/0001-82;2021-01-01;5;115010;CAIANDA PARTICIPACOES S.A.;340860;Preferencial Classe B;73833
04.038.763/0001-82;2021-01-01;5;115010;CAIANDA PARTICIPACOES S.A.;340861;Preferencial Classe B;66667
04.038.763/0001-82;2021-01-01;5;115010;CAIANDA PARTICIPACOES S.A.;340863;Preferencial Classe B;66667
04.038.763/0001-82;2021-01-01;5;115010;CAIANDA PARTICIPACOES S.A.;340864;Preferencial Classe B;66667
04.038.763/0001-82;2021-01-01;5;115010;CAIANDA PARTICIPACOES S.A.;340865;Preferencial Classe B;333333
06.948.969/0001-75;2021-01-01;3;106436;LINX S.A.;317902;Preferencial Classe A;764906
06.948.969/0001-75;2021-01-01;3;106436;LINX S.A.;317903;Preferencial Classe B;2759983
07.857.850/0001-50;2021-01-01;11;115791;GP INVESTMENTS, LTD.;342465;Preferencial Classe A;90690
07.857.850/0001-50;2021-01-01;11;115791;GP INVESTMENTS, LTD.;342466;Preferencial Classe A;600000
07.857.850/0001-50;2021-01-01;11;115791;GP INVESTMENTS, LTD.;342467;Preferencial Classe A;55924
08.534.605/0001-74;2021-01-01;6;115485;RENOVA ENERGIA S.A.;341405;Preferencial Classe A;38920274
08.534.605/0001-74;2021-01-01;6;115485;RENOVA ENERGIA S.A.;341405;Preferencial Classe A;38920274
08.534.605/0001-74;2021-01-01;6;115485;RENOVA ENERGIA S.A.;341406;Preferencial Classe A;4670700
08.574.411/0001-00;2021-01-01;2;114455;PRÁTICA PRODUTOS S.A.;339501;Preferencial Classe A;373242
08.574.411/0001-00;2021-01-01;2;114455;PRÁTICA PRODUTOS S.A.;339501;Preferencial Classe B;414253
09.305.994/0001-29;2021-01-01;9;115872;AZUL S.A.;342648;Preferencial Classe A;33000
15.073.274/0001-88;2021-01-01;2;111192;PPLA PARTICIPATIONS LTD.;330161;Preferencial Classe D;149222798
15.073.274/0001-88;2021-01-01;2;111192;PPLA PARTICIPATIONS LTD.;330162;Preferencial Classe A;82800000
15.073.274/0001-88;2021-01-01;2;111192;PPLA PARTICIPATIONS LTD.;330162;Preferencial Classe B;165600000
15.115.504/0001-24;2021-01-01;1;105219;TRONOX PIGMENTOS DO BRASIL S.A.;313248;Preferencial Classe A;2468448
15.115.504/0001-24;2021-01-01;1;105219;TRONOX PIGMENTOS DO BRASIL S.A.;313248;Preferencial Classe B;1303622
15.139.629/0001-94;2021-01-01;14;114048;CIA ELETRICIDADE EST. DA BAHIA - COELBA;338033;Preferencial Classe A;1641258
15.139.629/0001-94;2021-01-01;14;114048;CIA ELETRICIDADE EST. DA BAHIA - COELBA;338033;Preferencial Classe B;4999008
15.139.629/0001-94;2021-01-01;14;114048;CIA ELETRICIDADE EST. DA BAHIA - COELBA;338034;Preferencial Classe A;3101901
15.139.629/0001-94;2021-01-01;14;114048;CIA ELETRICIDADE EST. DA BAHIA - COELBA;338034;Preferencial Classe B;9563348
15.139.629/0001-94;2021-01-01;14;114048;CIA ELETRICIDADE EST. DA BAHIA - COELBA;338035;Preferencial Classe A;2919354
15.139.629/0001-94;2021-01-01;14;114048;CIA ELETRICIDADE EST. DA BAHIA - COELBA;338035;Preferencial Classe B;9000787
21.262.638/0001-70;2021-01-01;2;114508;ENCALSO PARTICIPAÇÕES EM CONCESSÕES S/A;339620;Preferencial Classe A;3000
21.389.501/0001-81;2021-01-01;8;115634;COMPASS GÁS E ENERGIA S.A.;342008;Preferencial Classe A;30853032
21.389.501/0001-81;2021-01-01;8;115634;COMPASS GÁS E ENERGIA S.A.;342009;Preferencial Classe B;30853031
21.389.501/0001-81;2021-01-01;8;115634;COMPASS GÁS E ENERGIA S.A.;342010;Preferencial Classe B;23996342
24.962.466/0001-36;2021-01-01;5;115357;RUMO MALHA NORTE S.A.;341226;Preferencial Classe A;69380885
24.962.466/0001-36;2021-01-01;5;115357;RUMO MALHA NORTE S.A.;341226;Preferencial Classe B;5129741
24.962.466/0001-36;2021-01-01;5;115357;RUMO MALHA NORTE S.A.;341227;Preferencial Classe A;7203667
29.950.060/0001-57;2021-01-01;5;115451;NORTEC QUÍMICA S.A.;341247;Preferencial Classe B;142485
32.803.503/0001-91;2021-01-01;2;107546;ENTALPIA PARTICIPAÇÕES S.A.;320435;Preferencial Classe B;4353312
33.958.695/0001-78;2021-01-01;17;115522;UNIPAR CARBOCLORO S.A.;341536;Preferencial Classe A;210792
33.958.695/0001-78;2021-01-01;17;115522;UNIPAR CARBOCLORO S.A.;341536;Preferencial Classe B;4852857
33.958.695/0001-78;2021-01-01;17;115522;UNIPAR CARBOCLORO S.A.;341537;Preferencial Classe A;401722
33.958.695/0001-78;2021-01-01;17;115522;UNIPAR CARBOCLORO S.A.;341537;Preferencial Classe B;9088059
33.958.695/0001-78;2021-01-01;17;115522;UNIPAR CARBOCLORO S.A.;341538;Preferencial Classe A;205537
33.958.695/0001-78;2021-01-01;17;115522;UNIPAR CARBOCLORO S.A.;341538;Preferencial Classe B;5936952
42.771.949/0001-35;2021-01-01;24;115744;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;342316;Preferencial Classe A;334972
42.771.949/0001-35;2021-01-01;24;115744;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;342317;Preferencial Classe A;50420
42.771.949/0001-35;2021-01-01;24;115744;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;342318;Preferencial Classe A;305
42.771.949/0001-35;2021-01-01;24;115744;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;342318;Preferencial Classe B;81758
42.771.949/0001-35;2021-01-01;24;115744;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;342319;Preferencial Classe A;490196
42.771.949/0001-35;2021-01-01;24;115744;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;342320;Preferencial Classe A;98823
42.771.949/0001-35;2021-01-01;24;115744;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;342322;Preferencial Classe A;353469
42.771.949/0001-35;2021-01-01;24;115744;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;342323;Preferencial Classe B;96434
42.771.949/0001-35;2021-01-01;24;115744;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;342325;Preferencial Classe A;20246290
42.771.949/0001-35;2021-01-01;24;115744;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;342326;Preferencial Classe A;166659
42.771.949/0001-35;2021-01-01;24;115744;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;342328;Preferencial Classe A;5128125
42.771.949/0001-35;2021-01-01;24;115744;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;342328;Preferencial Classe C;1956685
42.771.949/0001-35;2021-01-01;24;115744;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;342329;Preferencial Classe B;109158
47.508.411/0001-56;2021-01-01;13;114389;CIA BRASILEIRA DE DISTRIBUICAO;339123;Preferencial Classe A;106629
47.508.411/0001-56;2021-01-01;13;114389;CIA BRASILEIRA DE DISTRIBUICAO;339124;Preferencial Classe A;106590
47.508.411/0001-56;2021-01-01;13;114389;CIA BRASILEIRA DE DISTRIBUICAO;339125;Preferencial Classe A;64946
47.508.411/0001-56;2021-01-01;13;114389;CIA BRASILEIRA DE DISTRIBUICAO;339126;Preferencial Classe A;64904
47.508.411/0001-56;2021-01-01;13;114389;CIA BRASILEIRA DE DISTRIBUICAO;339289;Preferencial Classe A;700
