CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Desdobramento;Data_Aprovacao;Tipo_Evento;Quantidade_Acoes_Ordinarias_Antes_Aprovacao;Quantidade_Acoes_Preferenciais_Antes_Aprovacao;Quantidade_Total_Acoes_Antes_Aprovacao;Quantidade_Acoes_Ordinarias_Depois_Aprovacao;Quantidade_Acoes_Preferenciais_Depois_Aprovacao;Quantidade_Total_Acoes_Depois_Aprovacao
05.197.443/0001-38;2021-01-01;17;115749;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;28251;2020-11-19;Desdobramento;742985906;0;742985906;3714929530;0;3714929530
05.917.486/0001-40;2021-01-01;12;111907;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;27545;2021-02-15;Grupamento;89583722;0;89583722;44791861;0;44791861
06.047.087/0001-39;2021-01-01;12;115656;REDE D'OR SÃO LUIZ S.A.;28226;2019-04-01;Desdobramento;459912417;0;459912417;919824834;0;919824834
06.047.087/0001-39;2021-01-01;12;115656;REDE D'OR SÃO LUIZ S.A.;28227;2020-09-24;Desdobramento;919824834;0;919824834;1839649668;0;1839649668
06.057.223/0001-71;2021-01-01;18;115525;SENDAS DISTRIBUIDORA S.A.;28182;2020-10-05;Grupamento;3269992034;0;3269992034;268351567;0;268351567
06.057.223/0001-71;2021-01-01;18;115525;SENDAS DISTRIBUIDORA S.A.;28183;2020-12-31;Grupamento;287012935;0;287012935;268351567;0;268351567
06.057.223/0001-71;2021-01-01;18;115525;SENDAS DISTRIBUIDORA S.A.;28184;2021-08-11;Desdobramento;269299859;0;269299859;1346499295;0;1346499295
06.948.969/0001-75;2021-01-01;3;106436;LINX S.A.;26253;2016-06-14;Desdobramento;47069132;0;47069132;141207396;0;141207396
06.977.745/0001-91;2021-01-01;16;115718;BR MALLS PARTICIPACOES S.A.;28246;2018-04-27;Bonificação;936000000;0;936000000;936000000;0;936000000
06.981.381/0001-13;2021-03-31;5;108105;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;26492;2020-10-21;Desdobramento;801870;0;801870;320748000;0;320748000
07.253.321/0001-47;2021-01-01;1;105092;CARBOMIL SA MINER. E INDUSTRIA;25804;2012-12-31;Bonificação;1;1;2;155;66;221
07.415.333/0001-20;2021-01-01;17;115529;SIMPAR S.A.;28187;2020-07-20;Desdobramento;130666388;0;130666388;148091707;0;148091707
07.415.333/0001-20;2021-01-01;17;115529;SIMPAR S.A.;28188;2021-08-10;Desdobramento;206520386;0;206520386;826081544;0;826081544
07.594.978/0001-78;2021-01-01;13;114215;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;27980;2019-10-17;Desdobramento;15953500;3467106;19420606;15953500;3497115;19450615
07.594.978/0001-78;2021-01-01;13;114215;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;27981;2021-06-22;Desdobramento;22440109;0;22440109;471242289;0;471242289
07.816.890/0001-53;2021-01-01;8;114661;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;28085;2018-07-20;Desdobramento;188395278;11858347;200253625;565185834;35575041;600760875
07.820.907/0001-46;2021-01-01;5;114873;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;28125;2018-11-09;Grupamento;48443062;0;48443062;2422153;0;2422153
07.857.093/0001-14;2021-01-01;6;112297;AURA MINERALS INC.;27611;2018-12-13;Grupamento;43377336;0;43377336;4337733;0;4337733
07.857.093/0001-14;2021-01-01;6;112297;AURA MINERALS INC.;27612;2020-08-05;Desdobramento;4716164;0;4716164;70742460;0;70742460
07.857.093/0001-14;2021-01-01;6;112297;AURA MINERALS INC.;27613;2021-02-26;Bonificação;70742460;0;70742460;72559449;0;72559449
07.859.510/0001-68;2021-01-01;4;114054;JHSF MALLS S.A.;27937;2017-12-31;Grupamento;323639937;0;323639937;107879979;0;107879979
