CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Sigla_Classe_Acoes_Preferenciais;Classe_Acoes_Preferenciais;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;PNA;Preferencial Classe A;146920;100.000000
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;PNB;Preferencial Classe B;242987127;86.799284
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;PNA;Preferencial Classe A;6565010;100.000000
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;PNB;Preferencial Classe B;5299415;17.905840
00.192.769/0001-59;2021-01-01;1;105168;NEUMARKT TRADE AND FINANCIAL CENTER S/A;PNA;Preferencial Classe A;0;0.000000
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;PNA;Preferencial Classe A;2167691;11.776100
00.359.742/0001-08;2021-01-01;4;113894;FICTOR ALIMENTOS S.A.;PNA;Preferencial Classe A;0;0.000000
00.644.907/0001-93;2021-01-01;1;105249;INVESTCO S.A.;PNA;Preferencial Classe A;16288514;4.240000
00.644.907/0001-93;2021-01-01;1;105249;INVESTCO S.A.;PNB;Preferencial Classe B;5156240;1.340000
00.644.907/0001-93;2021-01-01;1;105249;INVESTCO S.A.;PNC;Preferencial Classe C;107199382;27.900000
00.644.907/0001-93;2021-01-01;1;105249;INVESTCO S.A.;PNR;Preferencial Classe R;255559826;66.520000
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;PNA;Preferencial Classe A;0;0.000000
00.938.574/0001-05;2021-01-01;3;114104;CONC RIO-TERESOPOLIS S.A.;PNA;Preferencial Classe A;37680;100.000000
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;PNA;Preferencial Classe A;0;0.000000
01.083.200/0001-18;2021-01-01;10;115675;NEOENERGIA S.A.;PNA;Preferencial Classe A;0;0.000000
01.104.937/0001-70;2021-01-01;5;114681;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;PNA;Preferencial Classe A;0;0.000000
01.258.944/0001-26;2021-01-01;4;115354;RUMO MALHA SUL S.A.;PNA;Preferencial Classe A;0;0.000000
01.417.222/0001-77;2021-01-01;5;114007;MRS LOGISTICA S.A.;PNA;Preferencial Classe A;1055737;1.286289
01.417.222/0001-77;2021-01-01;5;114007;MRS LOGISTICA S.A.;PNB;Preferencial Classe B;895635;1.286996
01.468.594/0001-22;2021-01-01;7;111913;LG INFORMÁTICA S.A.;PNA;Preferencial Classe A;0;0.000000
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;PNA;Preferencial Classe A;0;0.000000
01.599.101/0001-93;2021-01-01;27;115071;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;PNA;Preferencial Classe A;0;0.000000
01.851.771/0001-55;2021-01-01;2;114436;524 PARTICIPACOES S.A.;PNA;Preferencial Classe A;0;0.000000
01.938.783/0001-11;2021-01-01;5;114730;CIA PARTICIPACOES ALIANCA DA BAHIA;PNA;Preferencial Classe A;0;0.000000
02.016.440/0001-62;2021-01-01;7;114880;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;PNA;Preferencial Classe A;0;0.000000
02.062.747/0001-08;2021-01-01;2;114444;SUDESTE S.A.;PNA;Preferencial Classe A;0;0.000000
02.105.040/0001-23;2021-04-01;3;108918;VIRGO II COMPANHIA DE SECURITIZACAO;PNA;Preferencial Classe A;246;0.590651
02.105.040/0001-23;2021-12-31;1;100560;VIRGO II COMPANHIA DE SECURITIZACAO;PNA;Preferencial Classe A;246;0.590651
02.149.205/0001-69;2021-01-01;7;113901;PORTO SEGURO S.A.;PNA;Preferencial Classe A;0;0.000000
02.162.616/0001-94;2021-01-01;4;108892;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;PNA;Preferencial Classe A;0;0.000000
02.201.787/0001-85;2021-01-01;1;105190;CEL PARTICIPAÇÕES S.A. - CELPAR;PNA;Preferencial Classe A;20;0.000000
02.201.787/0001-85;2021-01-01;1;105190;CEL PARTICIPAÇÕES S.A. - CELPAR;PNB;Preferencial Classe B;10;0.000000
02.217.319/0001-07;2021-01-01;2;111689;YBYRÁ CAPITAL S.A.;PNA;Preferencial Classe A;0;0.000000
02.255.187/0001-08;2021-01-01;7;115680;UNIFIQUE TELECOMUNICAÇÕES S.A.;PNA;Preferencial Classe A;0;0.000000
02.281.836/0001-37;2021-01-01;7;114590;TRANSNORDESTINA LOGISTICA SA;PNA;Preferencial Classe A;18686075;0.000000
02.281.836/0001-37;2021-01-01;7;114590;TRANSNORDESTINA LOGISTICA SA;PNB;Preferencial Classe B;7413673;100.000000
02.351.144/0001-18;2021-01-01;8;113850;TEGMA GESTAO LOGISTICA S.A.;PNA;Preferencial Classe A;0;0.000000
02.382.073/0001-10;2021-01-01;4;115239;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;PNA;Preferencial Classe A;0;0.000000
02.451.848/0001-62;2021-01-01;5;114561;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;PNA;Preferencial Classe A;0;0.000000
02.502.844/0001-66;2021-01-01;5;115348;RUMO MALHA PAULISTA S.A.;PNA;Preferencial Classe A;0;0.000000
02.509.491/0001-26;2021-01-01;17;114764;CONC ECOVIAS IMIGRANTES S.A.;PNA;Preferencial Classe A;0;0.000000
02.558.157/0001-62;2021-01-01;11;114359;TELEFÔNICA BRASIL S.A;PNA;Preferencial Classe A;0;0.000000
02.560.878/0001-07;2021-01-01;3;111518;HOSPITAL ANCHIETA S.A.;PNA;Preferencial Classe A;0;0.000000
02.591.787/0001-39;2021-01-01;5;109573;CAPITALPART PARTICIPACOES S.A.;PNA;Preferencial Classe A;0;0.000000
02.682.287/0001-02;2021-01-01;1;105657;PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;PNA;Preferencial Classe A;0;0.000000
