CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Constituicao_Emissor;Forma_Constituicao_Emissor;Sigla_Pais_Constituicao_Emissor;Pais_Constituicao_Emissor;Prazo_Duracao_Emissor;Data_Registro_Emissor;Requisicao_Registro_Emissor
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;1808-10-12;Sociedade anônima aberta de economia mista.;BR;Brasil;;1977-07-20;N
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;1964-12-10;Autorização contida na Lei Federal nº 4.545, de 10 de dezembro de 1964, regida pela Lei das Sociedades Anônimas, pelo Estatuto e demais disposições legais.;BR;Brasil;;1993-09-24;N
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;1962-06-11;Sociedade por ações de economia mista.;BR;Brasil;;1971-01-28;N
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;1968-12-16;SOCIEDADE DE ECONOMIA MISTA;BR;Brasil;;1994-07-04;N
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;1984-12-28;Sociedade Anônima;BR;Brasil;;2021-09-15;N
00.192.769/0001-59;2021-01-01;1;105168;NEUMARKT TRADE AND FINANCIAL CENTER S/A;1994-08-23;Sociedade de Capital Aberto;BR;Brasil;;1994-10-27;N
00.194.724/0001-13;2021-01-01;4;113341;AUREN OPERAÇÕES S.A.;1994-09-14;Constituída sob a forma de sociedade limitada e transformada em sociedade anônima em maio de 2021;BR;Brasil;;2021-08-17;N
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;1994-10-05;Sociedade Limitada (Armac Locação, Logística e Serviços Ltda.), posteriormente transformada e alterada para Armac Locação, Logística e Serviços S.A. (26/05/2020);BR;Brasil;;2021-07-26;N
00.272.185/0001-93;2021-01-01;2;111834;CIMS S.A.;1994-10-18;Sociedade Anonima;BR;Brasil;;1995-03-14;N
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;1972-11-09;Constituída sob a forma de sociedade anônima aberta de economia mista.;BR;Brasil;;1981-01-21;N
00.359.742/0001-08;2021-01-01;4;113894;FICTOR ALIMENTOS S.A.;1994-12-20;Sociedade Anonima.;BR;Brasil;;1996-02-28;N
00.383.281/0001-09;2021-01-01;11;113008;BNDES PARTICIPACOES S.A. - BNDESPAR;1974-09-04;Sociedade por ações;BR;Brasil;;1998-01-13;N
00.389.481/0001-79;2021-01-01;3;114534;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;1995-01-10;Sociedade Anônima;BR;Brasil;;2019-11-29;N
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;1994-09-16;Sociedade Anônima;BR;Brasil;;2018-04-26;N
00.545.378/0001-70;2021-01-01;2;105553;SERRA AZUL WATER PARK SA;1995-03-09;Companhia Aberta - Categoria A - Sem Ações em Bolsa;BR;Brasil;;1995-07-26;N
00.622.416/0001-41;2021-01-01;12;113936;STATKRAFT ENERGIAS RENOVAVEIS S.A.;1995-05-19;Fomos constituídos sob a forma de sociedade empresária limitada e, posteriormente, transformados em sociedade por ações em 20 de novembro de 1995.;BR;Brasil;;2011-09-19;N
00.644.907/0001-93;2021-01-01;1;105249;INVESTCO S.A.;1995-05-31;Constituída sob a forma de sociedade por ações.;BR;Brasil;;2000-02-04;N
00.743.065/0001-27;2021-01-01;3;114240;LITEL PARTICIPACOES S.A.;1995-07-21;Sociedade Anônima de capital privado;BR;Brasil;;1995-10-18;N
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2006-12-13;Em 23 de novembro de 2006, em São Paulo, Brasil, Americanas.com S/A - Comércio Eletrônico e Submarino celebraram o Acordo de Fusão, resultando na criação da B2W, sociedade que consolidou as operações de Americanas.com e Submarino, sucedendo-as em todos os respectivos direitos e obrigações. A fusão foi aprovada pela Lojas Americanas S.A., única acionista da Americanas.com, e pelos acionistas do Submarino em 13 de dezembro de 2006. Em 31 de março de 2007, foi aprovada a incorporação do acervo líquido da B2W pela TV Sky Shop ("Incorporação"). Após a incorporação, a TV Sky Shop passou a ser denominada "B2W - Companhia Global do Varejo". Na Assembleia Geral Extraordinária realizada em 30/04/2013 foi aprovada por unanimidade a alteração da denominação social para "B2W - Companhia Digital".;BR;Brasil;;2007-07-26;N
00.864.214/0001-06;2021-01-01;13;115599;ENERGISA S.A.;1995-08-09;Constituída sob a forma de sociedade por ações.;BR;Brasil;;1995-12-20;N
00.897.864/0001-58;2021-01-01;2;104591;SANTA CATARINA PART INVEST SA;1995-11-13;sociedade anonima;BR;Brasil;;1995-12-14;N
00.924.429/0001-75;2021-01-01;2;108092;FERROVIA CENTRO-ATLANTICA S.A.;1995-08-14;Sociedade por ações;BR;Brasil;;1996-02-12;N
00.938.574/0001-05;2021-01-01;3;114104;CONC RIO-TERESOPOLIS S.A.;1995-11-07;Sociedade por Ações;BR;Brasil;2022-09-21;2001-12-26;N
00.974.211/0001-25;2021-01-01;4;114592;LINHA AMARELA S.A. - LAMSA;1995-11-21;Sociedade por ações;BR;Brasil;;2020-04-08;N
00.979.969/0001-56;2021-01-01;1;103284;CAIXA ADM DIV PUB ESTADUAL SA;1995-12-28;Sociedade de Economia Mista sob a forma de Sociedade Anônima;BR;Brasil;;1996-09-04;N
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;1995-11-23;A Companhia foi constituída sob a forma de uma sociedade anônima de capital fechado;BR;Brasil;;2009-06-25;N
01.083.200/0001-18;2021-01-01;10;115675;NEOENERGIA S.A.;1996-02-14;Constituição por subscrição particular;BR;Brasil;;1996-05-08;N
01.104.937/0001-70;2021-01-01;5;114681;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;1996-01-20;Criada em 15 de dezembro de 1995, através da Lei n° 9.163.;BR;Brasil;;1996-09-30;N
01.107.327/0001-20;2021-01-01;3;115844;BBM LOGÍSTICA S.A.;1996-03-06;Sociedade Limitada;BR;Brasil;;2019-02-27;N
01.258.944/0001-26;2021-01-01;4;115354;RUMO MALHA SUL S.A.;1996-04-30;Sociedade Anônima;BR;Brasil;;1996-08-29;N
01.319.044/0001-41;2021-01-01;1;103915;WTC AMAZONAS SUITE HOTEL S.A.;1996-06-01;A Empresa foi constituida sob a forma de Sociedade Anônima, tendo como objeto propósito especifico.;BR;Brasil;;1996-09-18;N
01.417.222/0001-77;2021-01-01;5;114007;MRS LOGISTICA S.A.;1996-08-30;Sociedade Anônima;BR;Brasil;;1998-11-13;N
01.468.594/0001-22;2021-01-01;7;111913;LG INFORMÁTICA S.A.;1985-08-08;Sociedade Limitada.;BR;Brasil;;2021-04-06;N
01.543.032/0001-04;2021-01-01;13;113815;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;1956-02-16;Sociedade por ações;BR;Brasil;;2021-02-12;N
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;1996-11-12;Sociedade Anônima;BR;Brasil;;1997-02-21;N
01.548.981/0001-79;2021-01-01;6;114192;INVESTIMENTOS BEMGE S.A.;1964-03-05;Sociedade Anônima;BR;Brasil;;1977-07-20;N
01.599.101/0001-93;2021-01-01;27;115071;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;1996-12-05;Sociedade limitada;BR;Brasil;;2020-10-05;N
01.616.929/0001-02;2021-01-01;9;113851;SANEAMENTO DE GOIAS SA;1967-09-13;Sociedade por Ações;BR;Brasil;;2001-12-11;N
01.838.723/0001-27;2021-01-01;11;111776;BRF S.A.;1934-08-18;Companhia Aberta;BR;Brasil;;1997-06-24;N
01.851.771/0001-55;2021-01-01;2;114436;524 PARTICIPACOES S.A.;1997-04-02;Constituída como uma sociedade anônima de capital aberto;BR;Brasil;;1997-05-30;N
01.896.779/0001-38;2021-01-01;6;113992;CSU DIGITAL S.A.;1997-04-18;CardSystem Ltda foi criada em 1992 e, posteriormente, foi convertida na CSU CardSystem S.A. - Sociedade por ações;BR;Brasil;;2006-04-25;N
01.917.818/0001-36;2021-01-01;11;114216;LIGHT ENERGIA S.A.;1997-06-23;Sociedade Anônima;BR;Brasil;;2013-01-11;N
01.938.783/0001-11;2021-01-01;5;114730;CIA PARTICIPACOES ALIANCA DA BAHIA;1997-05-14;Sociedade Anônima;BR;Brasil;;2000-07-26;N
01.957.772/0001-89;2021-01-01;2;105881;SUL 116 PARTICIPACOES S.A.;1997-06-05;Sociedade por Ações de Capital Fechado;BR;Brasil;2014-07-20;1997-09-03;N
01.971.614/0001-83;2021-01-01;7;114105;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;1997-05-30;Sociedade por ações;BR;Brasil;;1997-10-07;N
01.989.044/0001-59;2021-01-01;1;103950;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;1997-06-16;A Empresa foi constituida sob a forma de Sociedade Anônima, tendo como objeto propósito especifico.;BR;Brasil;;1997-10-30;N
02.016.440/0001-62;2021-01-01;7;114880;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;1997-07-28;Constituída sob a forma de sociedade por ações;BR;Brasil;;1997-10-13;N
02.062.747/0001-08;2021-01-01;2;114444;SUDESTE S.A.;1997-07-22;Constituída como uma sociedade anônima de capital aberto;BR;Brasil;;1997-11-10;N
02.105.040/0001-23;2021-04-01;3;108918;VIRGO II COMPANHIA DE SECURITIZACAO;1997-07-31;Empresa aberta, constituida sob a forma de sociedade anônima de capital fechado;BR;Brasil;;1999-05-31;N
02.105.040/0001-23;2021-12-31;1;100560;VIRGO II COMPANHIA DE SECURITIZACAO;1997-07-31;Empresa aberta, constituida sob a forma de sociedade anônima de capital fechado;BR;Brasil;;1999-05-31;N
02.149.205/0001-69;2021-01-01;7;113901;PORTO SEGURO S.A.;1997-09-22;Sociedade Por Ações;BR;Brasil;;1997-11-28;N
02.162.616/0001-94;2021-01-01;4;108892;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;1997-09-08;Sociedade por ações de capital aberto, privado e nacional;BR;Brasil;;1997-11-19;N
02.193.750/0001-52;2021-01-01;15;115647;DEXXOS PARTICIPAÇÕES S.A.;1997-10-01;A Dexxos Participações S.A. foi constituída em 1º de outubro de 1997, por cisão da Refinaria de Petróleo de Manguinhos S.A., conforme atos constitutivos.A alteração da denominação social, de GPC Participações S.A. para Dexxos Participações S.A., foi deliberada e aprovada em Assembleia Geral Extraordinária realizada em 07/06/2021.;BR;Brasil;;1997-11-20;N
02.201.787/0001-85;2021-01-01;1;105190;CEL PARTICIPAÇÕES S.A. - CELPAR;1997-09-10;SPE;BR;Brasil;;1997-12-01;N
02.217.319/0001-07;2021-01-01;2;111689;YBYRÁ CAPITAL S.A.;1997-10-06;constituida como sociedade anônima de capital aberta;BR;Brasil;;1997-12-08;N
02.221.531/0001-30;2021-01-01;4;110384;RDN CONCESSÕES E PARTICIPAÇÕES S.A.;1997-11-03;Sociedade por Ações;BR;Brasil;;2001-11-12;N
02.255.187/0001-08;2021-01-01;7;115680;UNIFIQUE TELECOMUNICAÇÕES S.A.;1997-11-05;Sociedade Limitada;BR;Brasil;;2021-07-23;N
02.258.422/0001-97;2021-01-01;6;114432;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;1997-10-31;S.A. de capital aberto - subsidiária integral da Inepar S.A. Indústria e Construções - Em Recuperação Judicial;BR;Brasil;;1998-10-23;N
02.281.836/0001-37;2021-01-01;7;114590;TRANSNORDESTINA LOGISTICA SA;1997-11-27;A Companhia foi constituída sob a forma de sociedade anônima de capital fechado em 27 de novembro de 1997, e possui sede na cidade de Fortaleza, Estado do Ceará, tendo iniciado suas atividades em janeiro de 1998, originalmente com o nome de Companhia Ferroviária do Nordeste S.A ("CFN"). Em 12 de maio de 2008, em Assembléia Geral Ordinária e Extraordinária, a Companhia decidiu alterar a razão social da CFN para a atual denominação.;BR;Brasil;;2007-01-11;N
02.286.479/0001-08;2021-01-01;5;113804;LOCALIZA FLEET S.A.;1997-12-15;Constituída sob a forma de sociedade limitada.;BR;Brasil;;2019-10-10;N
02.291.077/0001-93;2021-01-01;2;103648;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;1997-12-10;Sociedade por ações;BR;Brasil;;2002-02-07;N
02.302.100/0001-06;2021-01-01;6;111045;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;1997-12-22;Constituída sob a forma de sociedade por ações.;BR;Brasil;;1998-03-27;N
02.302.101/0001-42;2021-01-01;7;114157;EMAE - EMPRESA METROP. DE AGUAS E ENERGIA S.A.;1997-12-22;Sociedade por ações;BR;Brasil;;1998-03-27;N
02.318.346/0001-68;2021-01-01;3;110456;OPPORTUNITY ENERGIA E PARTICIPACOES S.A. - EM LIQUIDAÇÃO;1997-11-06;Constituída sob a forma de Sociedade Anônima;BR;Brasil;;1998-03-06;N
02.328.280/0001-97;2021-01-01;9;114135;ELEKTRO REDES S.A.;1998-01-06;A Elektro Redes S.A. foi constituída em 06 de janeiro de 1998, como subsidiária integral da CESP, dentro das diretrizes estabelecidas pelo PED - Programa Estadual de Desestatização do Estado de São Paulo, Brasil.;BR;Brasil;;1998-07-08;N
02.338.534/0001-58;2021-01-01;2;109598;LONGDIS S.A.;1997-11-06;Constituída sob a forma de sociedade anônima, por subscrição particular.;BR;Brasil;;1998-06-30;N
02.351.144/0001-18;2021-01-01;8;113850;TEGMA GESTAO LOGISTICA S.A.;1998-01-05;Sociedade Limitada;BR;Brasil;;2007-06-28;N
02.351.877/0001-52;2021-01-01;14;115548;LWSA S/A;1997-12-23;Fomos constituídos sob a forma de sociedade limitada.;BR;Brasil;;2020-02-04;N
02.357.251/0001-53;2021-01-01;5;115847;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;1997-12-22;Sociedade por ações;BR;Brasil;;2019-11-08;N
02.365.069/0001-44;2021-01-01;3;108695;PADTEC HOLDING S.A.;1998-01-26;A Companhia foi constituída sob a forma de sociedade anônima com a denominação de Kikwitt Participações S.A., depois sua denominação social passou a ser Ideiasnet S.A. e a partir de 10/07/2020, Padtec Holding S.A.;BR;Brasil;;1999-08-02;N
02.382.073/0001-10;2021-01-01;4;115239;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;1998-02-02;Sociedade por Ações;BR;Brasil;;2014-08-11;N
02.387.241/0001-60;2021-01-01;17;115500;RUMO S.A.;1997-09-30;Sociedade Anônima;BR;Brasil;;1998-07-02;N
02.397.080/0001-96;2021-01-01;6;114132;ITAPEBI GERACAO DE ENERGIA S.A.;1998-02-27;Constituição por subscrição particular.;BR;Brasil;;2003-02-05;N
02.415.408/0001-50;2021-01-01;5;114570;CONC ROD.OESTE SP VIAOESTE S.A;1998-03-04;A Companhia foi constituída na Cidade de São Paulo, Estado de São Paulo, Brasil, sob a forma de uma sociedade por ações de capital fechado.;BR;Brasil;2022-12-31;2007-07-27;N
02.421.421/0001-11;2021-01-01;11;115627;TIM S.A.;1998-02-11;Limitada;BR;Brasil;;2020-03-17;N
02.429.144/0001-93;2021-01-01;5;115542;CPFL ENERGIA S.A.;1998-03-25;Sociedade por Ações;BR;Brasil;;2000-05-18;N
02.451.848/0001-62;2021-01-01;5;114561;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;1998-03-05;Sociedade por ações de capital aberto;BR;Brasil;2027-04-17;2006-07-19;N
02.474.103/0001-19;2021-01-01;10;115589;ENGIE BRASIL ENERGIA S.A.;1998-01-29;Sociedade por ações;BR;Brasil;;1998-05-28;N
02.502.844/0001-66;2021-01-01;5;115348;RUMO MALHA PAULISTA S.A.;1998-04-02;Sociedade Anônima;BR;Brasil;;1998-11-12;N
02.509.186/0001-34;2021-01-01;3;112480;TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.;1998-05-04;Constituída sob a forma de Sociedade Anonima Aberta;BR;Brasil;2021-09-14;2013-02-25;N
02.509.491/0001-26;2021-01-01;17;114764;CONC ECOVIAS IMIGRANTES S.A.;1998-04-23;A Concessionária Ecovias dos Imigrantes S.A. ("Companhia") foi constituída em 23 de abril de 1998 sob a forma de capital fechado. Em 18 de dezembro de 2006, obteve seu registro da CVM.;BR;Brasil;;2006-12-18;N
02.558.157/0001-62;2021-01-01;11;114359;TELEFÔNICA BRASIL S.A;1998-05-22;Sob a forma de sociedade anônima.;BR;Brasil;;1998-08-19;N
02.560.878/0001-07;2021-01-01;3;111518;HOSPITAL ANCHIETA S.A.;1995-09-06;Constituição sob a forma de Sociedade Limitada;BR;Brasil;;2021-12-08;N
02.591.787/0001-39;2021-01-01;5;109573;CAPITALPART PARTICIPACOES S.A.;1998-07-01;Constituída sob a forma de sociedade anônima, por subscrição particular.;BR;Brasil;;1998-07-09;N
02.635.522/0001-95;2021-03-31;8;104794;JALLES MACHADO S.A.;1980-11-14;Sociedade anônima;BR;Brasil;;2021-02-04;N
02.643.896/0001-52;2021-01-01;1;105291;REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.;1999-06-18;A Companhia foi constituída, sob a forma de sociedade de quotas por responsabilidade limitada, denominada à época de "Empresa Patrimonial Industrial I Ltda.".;BR;Brasil;;1999-09-14;N
02.664.042/0001-52;2021-01-01;2;113942;TERMINAL GARAGEM MENEZES CORTES S.A.;1998-11-06;Sociedade anonima de capital com ações não negociadas em mercado aberto e em poder de somente dois sócios pessoas juridicas;BR;Brasil;;2000-07-26;N
02.682.287/0001-02;2021-01-01;1;105657;PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;1998-06-18;Sociedade por ações;BR;Brasil;;2000-01-25;N
02.724.983/0001-34;2021-01-01;2;111303;SANESALTO SANEAMENTO S.A.;1996-11-06;Companhia S.A.;BR;Brasil;;2004-09-21;N
02.736.470/0001-43;2021-01-01;1;108212;CONFIANZA SECURITIZADORA SA;1998-05-26;Sociedade Anônima;BR;Brasil;;1999-05-04;N
02.762.113/0001-50;2021-01-01;4;108238;BRAZILIAN FINANCE E REAL ESTATE S.A.;1998-08-25;Sociedade Anônima;BR;Brasil;;1998-11-10;N
02.762.121/0001-04;2021-01-01;7;115702;SANTOS BRASIL PARTICIPACOES S.A.;1998-08-25;Sociedade anônima de capital aberto;BR;Brasil;;1998-11-09;N
02.762.124/0001-30;2021-01-01;2;114437;BETAPART PARTICIPACOES S.A.;1998-08-27;Constituída como uma sociedade anônima de capital aberto;BR;Brasil;;1998-11-06;N
02.773.542/0001-22;2021-01-01;10;115903;OPEA SECURITIZADORA S.A.;1998-09-09;Sociedade anônima, por meio de Ata de Assembleia Geral de Constituição;BR;Brasil;;1999-08-02;N
02.783.423/0001-50;2021-01-01;1;105727;ALTERE SECURITIZADORA S.A.;1998-09-14;sob a forma de sociedade por ações, decorrente da cisão parcial da SAQUAREMA PARTICIPAÇÕES S.A., conforme Assembleia Geral Extraordinária realizada em 14 de setembro de 1998, registrada perante a Junta Comercial do Estado de São Paulo (JUCESP), na data de 30 de setembro de 1998.;BR;Brasil;;1998-12-10;N
02.796.775/0001-40;2021-01-01;3;114439;GAMA PARTICIPACOES S.A.;1998-08-25;Constituída sob a forma de sociedade anônima de capital aberto;BR;Brasil;;1998-12-01;N
02.800.026/0001-40;2021-01-01;13;115845;COGNA EDUCAÇÃO S.A.;1966-04-11;Sociedade Anônima de Capital Aberto;BR;Brasil;;1998-12-01;N
02.846.056/0001-97;2021-01-01;19;114588;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;1998-09-23;A Companhia foi constituída em 23 de setembro de 1998, na Cidade de São Paulo, Estado de São Paulo, Brasil, sob a forma de sociedade por ações de capital fechado. Em 19 de dezembro de 2000, a Companhia abriu seu capital.;BR;Brasil;;2000-12-19;N
02.860.694/0001-62;2021-01-01;11;126140;T4F ENTRETENIMENTO S.A.;1998-11-18;Constituída na forma de sociedade limitada na capital do Estado de São Paulo, sob a denominação de Operadora de Bens Paulista Ltda., posteriormente denominada SECOCIE Comércio Administração e Serviços Ltda. ("SECOCIE"), tendo sido transformada, em 31 de dezembro de 2000, em uma sociedade por ações de capital fechado, de acordo com a Lei das Sociedades por Ações. Em 11 de Abril de 2011, devido ao processo de abertura de capital via oferta pública de ações, tornou-se uma sociedade por ações de capital aberto.;BR;Brasil;;2011-04-11;N
02.916.265/0001-60;2021-01-01;12;115684;JBS S.A.;1998-12-16;Sociedade por ações;BR;Brasil;;2007-03-27;N
02.919.555/0001-67;2021-01-01;7;114069;ARTERIS S.A.;1998-11-24;A Companhia foi constituída sob a forma de sociedade limitada. Em abril de 2005 foi aprovada a transformação da sociedade limitada para sociedade por ações. Em julho de 2005, as ações da Companhia passaram a ser negociadas na B3 (na época, denominada BM&FBOVESPA - S.A. - Bolsa de Valores Mercadorias e Futuros).;BR;Brasil;;2005-07-05;N
02.932.074/0001-91;2021-01-01;6;114394;HYPERA S.A.;2001-12-01;A Companhia foi constituída sob a forma de sociedade limitada, sendo transformada em sociedade anônima em 26 de março de 2007;BR;Brasil;;2008-04-16;N
02.950.811/0001-89;2021-01-01;10;115678;PDG REALTY S.A. EMPREEND E PARTICIPACOES;1998-11-17;Sociedade por ações de capital aberto.;BR;Brasil;;2007-01-23;N
02.992.449/0001-09;2021-01-01;2;114442;PROMPT PARTICIPACOES S.A.;1998-11-20;Constituída sob forma de Sociedade Anônima;BR;Brasil;;1999-06-18;N
02.998.301/0001-81;2021-01-01;8;114549;RIO PARANAPANEMA ENERGIA S.A.;1999-02-22;Sociedade por ações de capital aberto, em razão da cisão parcial da Companhia Energética de São Paulo ("CESP"), conforme descrito no item 6.3 deste Formulário de Referência.;BR;Brasil;;1999-07-14;N
02.998.611/0001-04;2021-01-01;10;119216;ISA ENERGIA BRASIL;1999-02-04;Constituída sob a forma de sociedade por ações;BR;Brasil;;1999-07-14;N
03.014.553/0001-91;2021-01-01;4;114252;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;1999-01-11;Sociedade por Ações;BR;Brasil;;2002-12-05;N
03.025.305/0001-46;2021-01-01;3;112482;RODOVIAS DAS COLINAS S.A.;1999-02-26;Constituída sob a forma de Sociedade Anonima Aberta;BR;Brasil;2028-07-02;2013-04-25;N
03.207.703/0001-83;2021-01-01;3;112002;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;1999-06-08;Constituída sob a forma de sociedade por ações.;BR;Brasil;2028-04-01;2009-11-27;N
03.220.438/0001-73;2021-01-01;18;115541;EQUATORIAL S.A.;1999-06-16;Sociedade Anônima;BR;Brasil;;2006-03-30;N
03.303.999/0001-36;2021-01-01;3;114866;DTCOM - DIRECT TO COMPANY S.A.;1999-01-31;SOCIEDADE EMPRESARIAL LTDA;BR;Brasil;;2000-02-04;N
03.342.704/0001-30;2021-01-01;15;113616;PETRORECÔNCAVO S.A.;1999-07-21;Sociedade por ações;BR;Brasil;;2021-04-30;N
03.378.521/0001-75;2021-01-01;17;114218;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;1999-07-27;Sociedade Anônima;BR;Brasil;;2005-12-12;N
03.467.321/0001-99;2021-01-01;4;115437;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;1956-08-04;Sociedade anônima.;BR;Brasil;;1994-10-25;N
03.494.776/0001-01;2021-01-01;5;114108;AMMO VAREJO S.A.;1999-10-14;Sociedade limitada;BR;Brasil;;2021-12-14;N
03.538.833/0001-07;2021-01-01;3;114446;XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÇÕES S.A.;1999-11-23;Constituída sob a forma de Sociedade Anônima.;BR;Brasil;;2006-03-22;N
03.758.318/0001-24;2021-01-01;18;114636;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;2000-03-20;Sociedade por ações;BR;Brasil;;2000-09-29;N
03.767.538/0001-14;2021-01-01;8;114910;BRAZILIAN SECURITIES CIA SECURITIZACAO;2000-04-10;Sociedade Anônima;BR;Brasil;;2000-09-04;N
03.795.050/0001-09;2021-01-01;3;114046;TERMOPERNAMBUCO S.A.;2000-04-25;Constituição por subscrição particular.;BR;Brasil;;2005-10-31;N
03.802.115/0001-98;2021-01-01;12;114530;CLEAR SALE S.A.;2000-04-24;Sociedade Limitada.;BR;Brasil;;2021-07-28;N
03.818.379/0001-30;2021-01-01;3;115722;SABER SERVIÇOS EDUCACIONAIS S.A.;2000-05-15;Constituído sob a forma de sociedade por ações.;BR;Brasil;;2018-08-13;N
03.847.461/0001-92;2021-01-01;11;115449;BRADESPAR S.A.;2000-03-30;Constituída como Empresa de Administração e Participações - Cia. aberta;BR;Brasil;;2000-08-07;N
03.853.896/0001-40;2021-01-01;6;113664;MARFRIG GLOBAL FOODS S.A.;2000-06-06;Constituída sob a forma de sociedade limitada, sendo que, 26 de março de 2007, por meio de alteração contratual, a Companhia foi transformada em sociedade por ações.;BR;Brasil;;2007-06-18;N
03.953.509/0001-47;2021-01-01;2;114180;CPFL GERACAO DE ENERGIA S.A.;2000-07-19;Sociedade por Ações;BR;Brasil;;2001-06-07;N
03.983.431/0001-03;2021-01-01;7;111096;EDP - ENERGIAS DO BRASIL S.A.;2000-07-24;Constituída sob a forma de sociedade por ações.;BR;Brasil;;2005-07-05;N
04.030.182/0001-02;2021-01-01;4;115011;CABINDA PARTICIPACOES S.A.;2000-07-31;Sociedade por ações;BR;Brasil;;2001-10-29;N
04.031.213/0001-31;2021-01-01;4;115009;CACONDE PARTICIPACOES S.A.;2000-07-31;sociedade por ações;BR;Brasil;;2001-10-29;N
04.032.433/0001-80;2021-01-01;9;115496;CONTAX PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;2000-07-31;Constituída sob a forma de sociedade anônima.;BR;Brasil;;2001-10-29;N
04.038.763/0001-82;2021-01-01;5;115010;CAIANDA PARTICIPACOES S.A.;2000-07-31;Sociedade Anônima;BR;Brasil;;2001-10-29;N
