CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Passivo;Indice_Endividamento;Tipo_Indice;Descricao_Outro_Indice
00.000.000/0001-91;2021-01-01;28;115866;2020-01-01;2020-12-31;1565932719179.49;12.51747065;Índice de Endividamento;
00.000.208/0001-00;2021-01-01;13;115568;2020-01-01;2020-12-31;23224007000.00;11.74000000;Índice de Endividamento;
00.001.180/0001-26;2021-01-01;7;111351;2020-01-01;2020-12-31;105215155000.00;0.42662114;Índice de Endividamento;
00.070.698/0001-11;2021-01-01;7;113985;2020-01-01;2020-12-31;2932964000.00;0.03242488;Índice de Endividamento;
00.080.671/0001-00;2021-01-01;4;111878;2020-01-01;2020-12-31;3658387487.73;3.03490401;Índice de Endividamento;
00.192.769/0001-59;2021-01-01;1;105168;2020-01-01;2020-12-31;75927039.75;3.60458602;Índice de Endividamento;
00.242.184/0001-04;2021-01-01;10;115247;2020-01-01;2020-12-31;344968000.00;4.05558429;Índice de Endividamento;
00.336.701/0001-04;2021-01-01;16;115640;2020-01-01;2020-12-31;2690774000.00;1.73236000;Índice de Endividamento;
00.383.281/0001-09;2021-01-01;11;113008;2020-01-01;2020-12-31;13171669000.00;0.12713661;Índice de Endividamento;
00.389.481/0001-79;2021-01-01;3;114534;2020-01-01;2020-12-31;1621819331.92;5.23405592;Índice de Endividamento;
00.416.968/0001-01;2021-01-01;24;114143;2020-01-01;2020-12-31;16536472000.00;4.93930000;Índice de Endividamento;
00.416.968/0001-01;2021-01-01;24;114143;2021-01-01;2021-12-31;17965729000.00;5.47430000;Índice de Endividamento;
00.545.378/0001-70;2021-01-01;2;105553;2020-01-01;2020-12-31;16164146.01;0.23826645;Índice de Endividamento;
00.622.416/0001-41;2021-01-01;12;113936;2020-01-01;2020-12-31;0.00;1.70000000;Outros índices;Endividamento líquido em 31 de dezembro de 2020, dividido pelo EBITDA do ano de 2020.  Acreditamos que o índice de endividamento financeiro líquido sobre EBIDTA seja apropriado para a correta compreensão da situação financeira da Companhia, uma vez que proporciona uma medida dinâmica da alavancagem financeira da Companhia e de sua capacidade de pagar a dívida através de sua geração operacional de caixa. Adicionalmente, tal índice é utilizado como medida em obrigações (covenants) em contratos de financiamento.
00.644.907/0001-93;2021-01-01;1;105249;2020-01-01;2020-12-31;248631000.00;0.27343000;Índice de Endividamento;
00.743.065/0001-27;2021-01-01;3;114240;2020-01-01;2020-12-31;241886398.58;8.25000000;Índice de Endividamento;
00.776.574/0001-56;2021-01-01;15;115623;2020-01-01;2020-12-31;13121069292.52;1.38324650;Índice de Endividamento;
00.864.214/0001-06;2021-01-01;13;115599;2020-01-01;2020-12-31;38047138000.00;5.06237542;Índice de Endividamento;
00.897.864/0001-58;2021-01-01;2;104591;2020-01-01;2020-12-31;7979254177.24;0.00000001;Índice de Endividamento;
00.924.429/0001-75;2021-01-01;2;108092;2020-01-01;2020-12-31;3724648000.00;0.72476400;Índice de Endividamento;
00.938.574/0001-05;2021-01-01;3;114104;2020-01-01;2020-12-31;46170433.23;0.34000000;Índice de Endividamento;
00.974.211/0001-25;2021-01-01;4;114592;2020-01-01;2020-12-31;385816000.00;3.52000000;Índice de Endividamento;
00.979.969/0001-56;2021-01-01;1;103284;2020-01-01;2020-12-31;350126.25;0.00158193;Índice de Endividamento;
01.027.058/0001-91;2021-01-01;13;115666;2020-01-01;2020-12-31;77749313684.29;5.53060000;Índice de Endividamento;
01.083.200/0001-18;2021-01-01;10;115675;2020-01-01;2020-12-31;44788.00;0.00232559;Índice de Endividamento;
01.104.937/0001-70;2021-01-01;5;114681;2020-01-01;2020-12-31;44761000.00;0.18020000;Índice de Endividamento;
01.107.327/0001-20;2021-01-01;3;115844;2020-01-01;2020-12-31;686920000.00;0.84340855;Índice de Endividamento;
01.107.327/0001-20;2021-01-01;3;115844;2021-01-01;2021-12-31;785654000.00;0.86110676;Índice de Endividamento;
01.258.944/0001-26;2021-01-01;4;115354;2020-01-01;2020-12-31;2562036000.00;1.34911527;Índice de Endividamento;
01.319.044/0001-41;2021-01-01;1;103915;2020-01-01;2020-12-31;1002076646.20;5.08550119;Índice de Endividamento;
01.417.222/0001-77;2021-01-01;5;114007;2020-01-01;2020-12-31;6816894000.00;1.58061212;Índice de Endividamento;
01.468.594/0001-22;2021-01-01;7;111913;2020-01-01;2020-12-31;61059000.00;0.65199140;Índice de Endividamento;
01.543.032/0001-04;2021-01-01;13;113815;2020-01-01;2020-12-31;7294180000.00;1.21618659;Índice de Endividamento;
01.545.826/0001-07;2021-01-01;8;114205;2020-01-01;2020-12-31;0.00;20.06000000;Outros índices;Índice de endividamento líquido 20,06%. Para mais informações vide item 3.2.
01.545.826/0001-07;2021-01-01;8;114205;2020-01-01;2020-12-31;2191611000.00;1.40633206;Índice de Endividamento;
01.548.981/0001-79;2021-01-01;6;114192;2020-01-01;2020-12-31;533718.00;0.00230000;Índice de Endividamento;
01.599.101/0001-93;2021-01-01;27;115071;2020-01-01;2020-12-31;964553000.00;2.34499000;Índice de Endividamento;
01.599.101/0001-93;2021-01-01;27;115071;2020-01-01;2020-12-31;0.00;0.17749581;Outros índices;Dívida (Caixa) Líquida dividida pelo EBITDA na mesma data (vide reconciliação no item 3.2 deste Formulário de Referência). A Companhia utiliza o índice Dívida (Caixa)  Líquida sobre o EBITDA como indicador para medir o grau de alavancagem e observância de covenants em contratos financeiros.O índice de endividamento evidenciado ao lado é negativo, ou seja: - 0,17749581
01.616.929/0001-02;2021-01-01;9;113851;2020-01-01;2020-12-31;2701406.00;0.87775472;Índice de Endividamento;
01.838.723/0001-27;2021-01-01;11;111776;2020-01-01;2020-12-31;40851371560.13;4.64000000;Índice de Endividamento;
01.838.723/0001-27;2021-01-01;11;111776;2021-01-01;2021-12-31;45372601758.20;5.91000000;Índice de Endividamento;
01.851.771/0001-55;2021-01-01;2;114436;2020-01-01;2020-12-31;168.84;0.11300000;Índice de Endividamento;
01.896.779/0001-38;2021-01-01;6;113992;2020-01-01;2020-12-31;247509000.00;0.84700000;Índice de Endividamento;
01.917.818/0001-36;2021-01-01;11;114216;2020-01-01;2020-12-31;3634155000.00;4.94000000;Índice de Endividamento;
01.917.818/0001-36;2021-01-01;11;114216;2020-01-01;2020-12-31;0.00;1.73000000;Outros índices;Dívida Líquida / EBITDA Ajustado para Covenants: A Companhia entende que o índice Dívida Líquida e EBITDA Ajustado para Covenants contratuais, calculados de forma consolidada (visto que a Light S.A. é a garantidora das operações), melhor reflete seu nível de endividamento, pois é o indicador financeiro utilizado pela Companhia para cálculo de covenants financeiros no âmbito de determinadas dívidas da Companhia.- A Dívida Líquida equivale ao total da Dívida Bruta deduzida de caixa e equivalentes de caixa e de títulos e valores mobiliários.- A Dívida Bruta equivale ao total da soma do circulante e não circulante dos empréstimos, financiamentos, debêntures, juros devidose rendas a receber e a pagar de operações de swap. - EBITDA Ajustado para Covenants contratuais é calculado por meio do "EBITDA", ajustado pelas outras receitas e despesas operacionais (antigo resultado não-operacional), adicionado de provisões de contingência, provisões para créditos de liquidação duvidosa (PECLD), o valor justo do ativo financeiro da concessão e recuperação de Créditos de PIS e COFINS sobre ICMS considerando que tais itens não têm efeito no caixa.- Para mais informações sobre a reconciliação da Dívida Líquida e EBITDA Ajustado para Covenants contratuais, vide item 3.9 deste Formulário de Referência.
01.938.783/0001-11;2021-01-01;5;114730;2020-01-01;2020-12-31;321232000.00;0.96778500;Índice de Endividamento;
01.957.772/0001-89;2021-01-01;2;105881;2020-01-01;2020-12-31;20647.00;0.34650000;Índice de Endividamento;
01.971.614/0001-83;2021-01-01;7;114105;2020-01-01;2020-12-31;123949996.00;0.78470000;Índice de Endividamento;
01.989.044/0001-59;2021-01-01;1;103950;2020-01-01;2020-12-31;6901122.51;100.00000000;Índice de Endividamento;
02.016.440/0001-62;2021-01-01;7;114880;2020-01-01;2020-12-31;8503786000.00;2.40177200;Índice de Endividamento;
02.062.747/0001-08;2021-01-01;2;114444;2020-01-01;2020-12-31;155.00;0.19800000;Índice de Endividamento;
02.105.040/0001-23;2021-04-01;3;108918;2021-01-01;2021-03-31;13410000.00;0.42321530;Índice de Endividamento;
02.105.040/0001-23;2021-12-31;1;100560;2020-01-01;2020-09-30;5165000.00;0.17260970;Índice de Endividamento;
02.149.205/0001-69;2021-01-01;7;113901;2020-01-01;2020-12-31;0.00;0.32470330;Outros índices;Parte substancial dos passivos da Companhia são compostos por provisões técnicas das operações de seguros e previdência complementar 43% do passivo total em 2020), para os quais são oferecidos ativos garantidores conforme regras da Superintendência de Seguros Privados (SUSEP). Outra significativa parcela de seus passivos são as operações com cartão de crédito (15% do passivo total em 2020), para os quais existem títulos e créditos a receber atrelados as essas operações. Por esses motivos, tais passivos não representam endividamento da Companhia. O item 10.1 (c) deste formulário apresenta esses passivos e os respectivos ativos atrelados ou dados em garantias. Desta forma, a Administração entende que seu endividamento é representado por seus passivos financeiros, excluídos os passivos de operações de cartão de crédito e de capitalização, de curto e longo prazo no montante de R$ 2.911.657 mil. O item 10.1 (f) deste formulário detalha a composição deste montante.
02.162.616/0001-94;2021-01-01;4;108892;2020-01-01;2020-12-31;5087867.15;4.62000000;Índice de Endividamento;
02.193.750/0001-52;2021-01-01;15;115647;2020-01-01;2020-12-31;529692000.00;1.67531300;Índice de Endividamento;
02.201.787/0001-85;2021-01-01;1;105190;2020-01-01;2020-12-31;27421789.00;222.00000000;Índice de Endividamento;
02.217.319/0001-07;2021-01-01;2;111689;2020-01-01;2020-12-31;170.00;0.13000000;Índice de Endividamento;
02.221.531/0001-30;2021-01-01;4;110384;2020-01-01;2020-12-31;1170778.00;8.62000000;Índice de Endividamento;
02.255.187/0001-08;2021-01-01;7;115680;2020-01-01;2020-12-31;338360000.00;2.88017433;Índice de Endividamento;
02.258.422/0001-97;2021-01-01;6;114432;2020-01-01;2020-12-31;276613334.90;120.84000000;Índice de Endividamento;
02.281.836/0001-37;2021-01-01;7;114590;2020-01-01;2020-12-31;7400547000.00;3.01490000;Índice de Endividamento;
02.286.479/0001-08;2021-01-01;5;113804;2020-01-01;2020-12-31;0.00;1.77025968;Outros índices;Dívida Líquida / EBITDA (Consolidado) - A Companhia entende que esse índice é apropriado para demonstrar o endividamento da Companhia.
02.286.479/0001-08;2021-01-01;5;113804;2020-01-01;2020-12-31;0.00;1.61181177;Outros índices;Dívida Líquida / patrimônio líquido (Consolidado) - Esse índice representa a relação entre o capital de terceiros e o capital próprio dos acionistas. A Companhia entende que esse índice é apropriado para demonstrar a participação do capital de terceiros frente ao capital próprio no financiamento das suas atividades.
02.286.479/0001-08;2021-01-01;5;113804;2020-01-01;2020-12-31;0.00;0.55729157;Outros índices;Dívida Líquida / valor da frota (Consolidado) - A Companhia entende que esse índice é apropriado pois demonstra que 55,7% da frota da Companhia seria suficiente para liquidar todo o seu endividamento.
02.286.479/0001-08;2021-01-01;5;113804;2020-01-01;2020-12-31;3362171000.00;3.42650361;Índice de Endividamento;
02.291.077/0001-93;2021-01-01;2;103648;2020-01-01;2020-12-31;16724676.48;24.34697000;Índice de Endividamento;
02.302.100/0001-06;2021-01-01;6;111045;2020-01-01;2020-12-31;5109391000.00;5.17164000;Índice de Endividamento;
02.302.101/0001-42;2021-01-01;7;114157;2020-01-01;2020-12-31;992904000.00;1.38188731;Índice de Endividamento;
02.318.346/0001-68;2021-01-01;3;110456;2020-01-01;2020-12-31;402549983.53;2313.33000000;Índice de Endividamento;
02.328.280/0001-97;2021-01-01;9;114135;2020-01-01;2020-12-31;6296016023.48;2.11139292;Índice de Endividamento;
02.351.144/0001-18;2021-01-01;8;113850;2020-01-01;2020-12-31;401293000.00;64.00000000;Índice de Endividamento;
02.351.877/0001-52;2021-01-01;14;115548;2020-01-01;2020-12-31;778391000.00;0.85361785;Índice de Endividamento;
02.357.251/0001-53;2021-01-01;5;115847;2020-01-01;2020-12-31;0.00;0.45135205;Outros índices;Indice do montante total da dívida líquida sobre o total do passivo
02.357.251/0001-53;2021-01-01;5;115847;2020-01-01;2020-12-31;189633000.00;0.61118700;Índice de Endividamento;
02.382.073/0001-10;2021-01-01;4;115239;2020-01-01;2020-12-31;752789.00;1.98694000;Índice de Endividamento;
02.387.241/0001-60;2021-01-01;17;115500;2020-01-01;2020-12-31;30612044000.00;2.00127000;Índice de Endividamento;
02.397.080/0001-96;2021-01-01;6;114132;2020-01-01;2020-12-31;277801.00;0.80112873;Índice de Endividamento;
02.415.408/0001-50;2021-01-01;5;114570;2020-01-01;2020-12-31;437245000.00;1.77251905;Índice de Endividamento;
02.421.421/0001-11;2021-01-01;11;115627;2020-01-01;2020-12-31;18471672405.46;79.68000000;Índice de Endividamento;
02.429.144/0001-93;2021-01-01;5;115542;2020-01-01;2020-12-31;34871106040.00;2.44953980;Índice de Endividamento;
02.451.848/0001-62;2021-01-01;5;114561;2020-01-01;2020-12-31;2598056.00;5.19381633;Índice de Endividamento;
02.474.103/0001-19;2021-01-01;10;115589;2020-01-01;2020-12-31;27444250000.00;3.54485392;Índice de Endividamento;
02.502.844/0001-66;2021-01-01;5;115348;2020-01-01;2020-12-31;7315282000.00;27576.53276637;Índice de Endividamento;
02.509.186/0001-34;2021-01-01;3;112480;2020-01-01;2020-12-31;492819.00;1.27000000;Índice de Endividamento;
02.509.491/0001-26;2021-01-01;17;114764;2020-01-01;2020-12-31;1354066880.10;69.65615422;Índice de Endividamento;
02.558.157/0001-62;2021-01-01;11;114359;2020-01-01;2020-12-31;39181613965.88;0.56330415;Índice de Endividamento;
02.560.878/0001-07;2021-01-01;3;111518;2020-01-01;2020-12-31;180836000.00;0.83000000;Índice de Endividamento;
02.560.878/0001-07;2021-01-01;3;111518;2021-01-01;2021-12-31;156323000.00;0.58000000;Índice de Endividamento;
02.635.522/0001-95;2021-03-31;8;104794;2019-04-01;2020-03-31;2384458660.74;3.77676200;Índice de Endividamento;
02.643.896/0001-52;2021-01-01;1;105291;2020-01-01;2020-12-31;196864381.48;98.10000000;Índice de Endividamento;
02.664.042/0001-52;2021-01-01;2;113942;2020-01-01;2020-12-31;4324052.00;3.38000000;Índice de Endividamento;
02.682.287/0001-02;2021-01-01;1;105657;2020-01-01;2020-12-31;142602000.00;0.71307400;Índice de Endividamento;
02.724.983/0001-34;2021-01-01;2;111303;2020-01-01;2020-12-31;49937544.33;0.99584600;Índice de Endividamento;
02.736.470/0001-43;2021-01-01;1;108212;2020-01-01;2020-12-31;42880.00;0.50140000;Índice de Endividamento;
02.762.113/0001-50;2021-01-01;4;108238;2020-01-01;2020-12-31;6151114.43;0.03307007;Índice de Endividamento;
02.762.121/0001-04;2021-01-01;7;115702;2020-01-01;2020-12-31;2132054902.08;1.01661447;Índice de Endividamento;
02.762.124/0001-30;2021-01-01;2;114437;2020-01-01;2020-12-31;301.11;0.03800000;Índice de Endividamento;
02.773.542/0001-22;2021-01-01;10;115903;2020-01-01;2020-12-31;7240000.00;0.75891000;Índice de Endividamento;
02.773.542/0001-22;2021-01-01;10;115903;2021-01-01;2021-12-31;5965000.00;0.42176341;Índice de Endividamento;
02.796.775/0001-40;2021-01-01;3;114439;2020-01-01;2020-12-31;119602.18;10.39000000;Índice de Endividamento;
02.800.026/0001-40;2021-01-01;13;115845;2020-01-01;2020-12-31;16498624.00;0.50000000;Índice de Endividamento;
02.846.056/0001-97;2021-01-01;19;114588;2020-01-01;2020-12-31;25508858000.00;2.78000000;Índice de Endividamento;
02.860.694/0001-62;2021-01-01;11;126140;2020-01-01;2020-12-31;339286243.26;1.78606936;Índice de Endividamento;
02.916.265/0001-60;2021-01-01;12;115684;2020-01-01;2020-12-31;120257617000.00;2.76000000;Índice de Endividamento;
02.919.555/0001-67;2021-01-01;7;114069;2020-01-01;2020-12-31;8290348000.00;1.30086445;Índice de Endividamento;
02.932.074/0001-91;2021-01-01;6;114394;2020-01-01;2020-12-31;0.00;0.59919606;Outros índices;O índice corresponde à divisão do endividamento financeiro no valor de R$ 5.537 milhões (composto por empréstimos, financiamentos e títulos a pagar), constantes nos passivos circulante e não circulante, conforme reportados nas Demonstrações Financeiras Consolidadas da Companhia relativas ao exercício social de 2020, posteriormente divididos pelo Patrimônio Líquido reportado ao final do exercício.Tais passivos correspondem aos passivos corrigidos por taxas de juros e refletem melhor o endividamento bruto da Companhia do que o total dos passivos circulante e não circulante, que inclui, por exemplo, valores recebidos correspondentes a adiantamentos por desinvestimentos de ativos.
02.992.449/0001-09;2021-01-01;2;114442;2020-01-01;2020-12-31;150.00;0.17900000;Índice de Endividamento;
02.998.301/0001-81;2021-01-01;8;114549;2020-01-01;2020-12-31;3808841000.00;1.99233841;Índice de Endividamento;
02.998.611/0001-04;2021-01-01;10;119216;2020-01-01;2020-12-31;10466916000.00;0.74099741;Índice de Endividamento;
03.014.553/0001-91;2021-01-01;4;114252;2020-01-01;2020-12-31;2453437000.00;2.68822690;Índice de Endividamento;
03.025.305/0001-46;2021-01-01;3;112482;2020-01-01;2020-12-31;2000054.00;2.94000000;Índice de Endividamento;
03.207.703/0001-83;2021-01-01;3;112002;2020-01-01;2020-12-31;1318688.00;5.37562014;Índice de Endividamento;
03.220.438/0001-73;2021-01-01;18;115541;2020-01-01;2020-12-31;31845533000.00;2.59360400;Índice de Endividamento;
03.220.438/0001-73;2021-01-01;18;115541;2021-01-01;2021-12-31;41676926000.00;3.00116500;Índice de Endividamento;
03.303.999/0001-36;2021-01-01;3;114866;2020-01-01;2020-12-31;20570092.42;0.80000000;Índice de Endividamento;
03.342.704/0001-30;2021-01-01;15;113616;2020-01-01;2020-12-31;1099977000.00;1.12220107;Índice de Endividamento;
03.342.704/0001-30;2021-01-01;15;113616;2020-01-01;2020-12-31;0.00;1.53490794;Outros índices;Este índice de endividamento representa a dívida líquida da Companhia sobre o EBITDA. A Companhia utiliza esse índice para aferir quanto tempo sua geração operacional de caixa levaria para realizar o pagamento de sua dívida líquida. Apesar de ser uma medida não contábil, este índice é utilizado para acompanhar os covenants de nossos empréstimos e financiamentos.
03.378.521/0001-75;2021-01-01;17;114218;2020-01-01;2020-12-31;0.00;1.73000000;Outros índices;Dívida Líquida / EBITDA Ajustado para Covenants:A Companhia entende que o índice Dívida Líquida e EBITDA Ajustado para Covenants contratuais, calculados de forma consolidada (visto que a Light S.A. é a garantidora das operações), melhor reflete seu nível de endividamento, pois é o indicador financeiro utilizado pela Companhia para cálculo de covenants financeiros no âmbito de determinadas dívidas da Companhia.  - A Dívida Líquida equivale ao total da Dívida Bruta deduzida de caixa e equivalentes de caixa e de títulos e valores mobiliários.- A Dívida Bruta equivale ao total da soma do circulante e não circulante dos empréstimos, financiamentos, debêntures, juros devidose rendas a receber e a pagar de operações de swap. - EBITDA Ajustado para Covenants contratuais é calculado por meio do "EBITDA", ajustado pelas outras receitas e despesas operacionais (antigo resultado não-operacional), adicionado de provisões de contingência, provisões para créditos de liquidação duvidosa (PECLD), o valor justo do ativo financeiro da concessão e recuperação de Créditos de PIS e COFINS sobre ICMS considerando que tais itens não têm efeito no caixa.- Para mais informações sobre a reconciliação da Dívida Líquida e EBITDA Ajustado para Covenants contratuais, vide item 3.9 deste Formulário de Referência.
03.378.521/0001-75;2021-01-01;17;114218;2020-01-01;2020-12-31;19321054000.00;2.73042328;Índice de Endividamento;
03.467.321/0001-99;2021-01-01;4;115437;2020-01-01;2020-12-31;6685650000.00;2.40433666;Índice de Endividamento;
03.494.776/0001-01;2021-01-01;5;114108;2020-01-01;2020-12-31;119272000.00;1.06424441;Índice de Endividamento;
03.494.776/0001-01;2021-01-01;5;114108;2021-01-01;2021-12-31;168146000.00;2.12112726;Índice de Endividamento;
03.538.833/0001-07;2021-01-01;3;114446;2020-01-01;2020-12-31;1446566.13;4.81000000;Índice de Endividamento;
03.758.318/0001-24;2021-01-01;18;114636;2020-01-01;2020-12-31;22948843.00;1.07960000;Índice de Endividamento;
03.767.538/0001-14;2021-01-01;8;114910;2020-01-01;2020-12-31;7797976.77;0.03484600;Índice de Endividamento;
03.795.050/0001-09;2021-01-01;3;114046;2020-01-01;2020-12-31;1386048.00;1.43341669;Índice de Endividamento;
03.802.115/0001-98;2021-01-01;12;114530;2020-01-01;2020-12-31;203637000.00;14.65647042;Índice de Endividamento;
03.802.115/0001-98;2021-01-01;12;114530;2021-01-01;2021-12-31;247030000.00;5.64265972;Índice de Endividamento;
03.818.379/0001-30;2021-01-01;3;115722;2020-01-01;2020-12-31;3562660.00;0.67000000;Índice de Endividamento;
03.847.461/0001-92;2021-01-01;11;115449;2020-01-01;2020-12-31;43034625.08;0.00380910;Índice de Endividamento;
03.853.896/0001-40;2021-01-01;6;113664;2020-01-01;2020-12-31;35993378000.00;10.24000000;Índice de Endividamento;
03.953.509/0001-47;2021-01-01;2;114180;2020-01-01;2020-12-31;8264523000.00;1.07976837;Índice de Endividamento;
03.983.431/0001-03;2021-01-01;7;111096;2020-01-01;2020-12-31;19034986000.00;1.88072676;Índice de Endividamento;
04.032.433/0001-80;2021-01-01;9;115496;2020-01-01;2020-12-31;1614975.00;9.66035600;Índice de Endividamento;
04.038.763/0001-82;2021-01-01;5;115010;2020-01-01;2020-12-31;28000.00;0.37000000;Índice de Endividamento;
04.065.791/0001-99;2021-01-01;10;115571;2020-01-01;2020-12-31;202125000.00;0.46409186;Índice de Endividamento;
04.069.709/0001-02;2021-01-01;4;112489;2020-01-01;2020-12-31;86375000.00;0.84000000;Índice de Endividamento;
04.089.570/0001-50;2021-01-01;5;115238;2020-01-01;2020-12-31;1556888.00;4.82668000;Índice de Endividamento;
04.128.563/0001-10;2021-01-01;5;111532;2020-01-01;2020-12-31;8192030000.00;4.44625061;Índice de Endividamento;
04.149.454/0001-80;2021-01-01;28;114760;2020-01-01;2020-12-31;11037459224.80;99.49357457;Índice de Endividamento;
04.149.454/0001-80;2021-01-01;28;114760;2021-01-01;2021-12-31;11200765601.72;98.72924320;Índice de Endividamento;
04.172.213/0001-51;2021-01-01;7;114232;2020-01-01;2020-12-31;4522447000.00;24.19033713;Índice de Endividamento;
04.200.649/0001-07;2021-01-01;17;112298;2020-01-01;2020-12-31;274825.14;0.22091539;Índice de Endividamento;
04.233.319/0001-18;2021-01-01;4;115068;2020-01-01;2020-12-31;3833442442.32;0.25144655;Índice de Endividamento;
04.368.865/0001-66;2021-01-01;1;121203;2020-01-01;2020-12-31;855412.00;1.20000000;Índice de Endividamento;
04.370.282/0001-70;2021-01-01;8;114635;2020-01-01;2020-12-31;9616706.00;0.88830750;Índice de Endividamento;
04.423.567/0001-21;2021-01-01;7;115717;2020-01-01;2020-12-31;8287356000.00;1.04496630;Índice de Endividamento;
04.437.534/0001-30;2021-01-01;2;111127;2020-01-01;2020-12-31;4603254000.00;0.00674387;Índice de Endividamento;
04.437.534/0001-30;2021-01-01;2;111127;2020-01-01;2020-12-31;0.00;2.89670000;Outros índices;Dívida bruta (Empréstimos - líquido de instrumentos financeiros swap + Debêntures + Notas Promissórias + Arrendamento mercantil financeiro) - caixa e equivalentes + aplicações financeiras / EBITDAÍndice com utilização disseminada no mercado e que reflete, de forma adequada, o nível de alavancagem financeira da Companhia.
04.739.720/0001-24;2021-01-01;2;112105;2020-01-01;2020-12-31;2005375000.00;0.94354204;Índice de Endividamento;
04.752.991/0001-10;2021-01-01;16;116024;2020-01-01;2020-12-31;243559015.02;0.55985778;Índice de Endividamento;
04.821.041/0001-08;2021-01-01;10;114536;2020-01-01;2020-12-31;1706972.00;133.36000000;Índice de Endividamento;
04.895.728/0001-80;2021-01-01;3;115483;2020-01-01;2020-12-31;8868089000.00;2.63000000;Índice de Endividamento;
