CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;263261;Capital Integralizado;2020-07-30;90000023475.34;;2865417020;0;2865417020
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;263262;Capital Emitido;2015-04-28;90000023475.34;Capital totalmente integraliza;2865417020;0;2865417020
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;263263;Capital Subscrito;2015-04-28;90000023475.34;Capital totalmente integraliza;2865417020;0;2865417020
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;263264;Capital Integralizado;2015-04-28;90000023475.34;;2865417020;0;2865417020
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;263265;Capital Autorizado;2015-04-28;120000000000.00;;2865417020;0;2865417020
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;262358;Capital Emitido;2020-08-03;1300000000.00;;280146500;82900000;363046500
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;262359;Capital Subscrito;2020-08-03;1300000000.00;;280146500;82900000;363046500
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;262360;Capital Integralizado;2020-08-03;1300000000.00;;280146500;82900000;363046500
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;262361;Capital Autorizado;2020-08-03;0.00;;555624000;164376000;720000000
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;251940;Capital Emitido;2020-02-17;39057271546.52;Não aplicável.;1288842596;280088314;1568930910
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;251941;Capital Subscrito;2020-02-17;39057271546.52;Não aplicável.;1288842596;280088314;1568930910
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;251942;Capital Integralizado;2020-02-17;39057271546.52;Não aplicável.;1288842596;280088314;1568930910
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;258455;Capital Subscrito;2021-10-14;566025355.62;;35920890;36161025;72081915
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;258456;Capital Subscrito;2015-09-23;566025355.62;;7184178;7232205;14416383
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;258457;Capital Autorizado;2005-02-15;368724452.20;;0;0;0
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;254285;Capital Autorizado;2021-05-03;0.00;Não aplicável;25000000;0;25000000
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;254286;Capital Emitido;2020-04-17;862724789.37;Não aplicável;24444000;0;24444000
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;254287;Capital Subscrito;2020-04-17;862724789.37;Não aplicável;24444000;0;24444000
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;254288;Capital Integralizado;2020-04-17;862724789.37;;24444000;0;24444000
00.192.769/0001-59;2021-01-01;1;105168;NEUMARKT TRADE AND FINANCIAL CENTER S/A;235255;Capital Autorizado;1994-08-23;10000.00;;10000;0;10000
00.194.724/0001-13;2021-01-01;4;113341;AUREN OPERAÇÕES S.A.;256556;Capital Emitido;2021-12-09;1768304301.66;Totalmente integralizado;1995532616;0;1995532616
00.194.724/0001-13;2021-01-01;4;113341;AUREN OPERAÇÕES S.A.;256557;Capital Subscrito;2021-12-09;1768304301.66;Totalmente integralizado;1995532616;0;1995532616
00.194.724/0001-13;2021-01-01;4;113341;AUREN OPERAÇÕES S.A.;256558;Capital Integralizado;2021-12-09;1768304301.66;;1995532616;0;1995532616
00.194.724/0001-13;2021-01-01;4;113341;AUREN OPERAÇÕES S.A.;256559;Capital Autorizado;2021-05-13;4600000000.00;;0;0;0
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;261816;Capital Emitido;2021-07-26;1127813999.17;N.A.;345759521;0;345759521
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;261817;Capital Subscrito;2021-07-26;1127813999.17;N.A.;345759521;0;345759521
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;261818;Capital Integralizado;2021-07-26;1127813999.17;N/A;345759521;0;345759521
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;261819;Capital Autorizado;2021-05-07;2000000000.00;N/A;0;0;0
00.272.185/0001-93;2021-01-01;2;111834;CIMS S.A.;254169;Capital Emitido;2022-02-09;2313855.69;;19170808;38341456;57512264
00.272.185/0001-93;2021-01-01;2;111834;CIMS S.A.;254170;Capital Subscrito;2022-02-09;2313855.69;;19170808;38341456;57512264
00.272.185/0001-93;2021-01-01;2;111834;CIMS S.A.;254171;Capital Integralizado;2022-02-09;2313855.69;;19170808;38341456;57512264
00.272.185/0001-93;2021-01-01;2;111834;CIMS S.A.;254172;Capital Integralizado;2021-04-20;145000.00;;2399463;4798926;7198389
00.272.185/0001-93;2021-01-01;2;111834;CIMS S.A.;254173;Capital Integralizado;2021-02-12;60000.00;;992881;1985762;2978643
00.272.185/0001-93;2021-01-01;2;111834;CIMS S.A.;254174;Capital Subscrito;2020-02-28;150000.00;TOTALMENTE INTEGRALIZADO;2482204;4964408;7446612
