CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Lucro_Liquido_Ajustado;Taxa_Retorno_Patrimonio_Liquido_Emissor;Lucro_Liquido_Retido;Dividendo_Distribuido_Lucro_Liquido_Ajustado;Dividendo_Distribuido_Total;Data_Aprovacao_Retencao
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2018-01-01;2018-12-31;12904555000.00;12.58000000;7374420000.00;40.00000000;5161822000.00;2019-04-26
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2019-01-01;2019-12-31;18133966000.00;17.30000000;16887623000.00;37.12668900;6732541000.00;2019-12-19
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2020-01-01;2020-12-31;11891184000.00;12.00000000;11507114000.00;35.29000000;4196889000.00;2021-04-28
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;235361901.03;19.00000000;147948677.34;40.00000000;94409185.75;2019-08-26
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;397894008.71;24.00000000;232958585.60;40.00000000;159157812.46;2020-02-19
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;427119279.47;23.00000000;342610224.86;25.04000000;106989016.69;2021-02-11
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018-01-01;2018-12-31;12622056307.29;23.97771720;11372056307.29;9.90000000;1250000000.00;2019-04-29
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2019-01-01;2019-12-31;10162268000.00;15.08617490;8156557000.00;25.00000000;2540567000.00;2020-07-29
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020-01-01;2020-12-31;6028555000.00;8.62703600;5020873000.00;25.00000400;1507139000.00;2021-04-27
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2018-01-01;2018-12-31;23269288.79;0.73400000;17451966.59;25.00000000;5817322.20;2019-04-30
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2019-01-01;2019-12-31;112003724.97;0.00000000;84002793.73;25.00000000;28000931.24;2020-07-22
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2020-01-01;2020-12-31;553839382.68;0.00000000;0.00;100.00000000;553839382.67;2021-04-30
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;2018-01-01;2018-12-31;0.00;0.17778700;0.00;0.00000000;0.00;
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;2019-01-01;2019-12-31;0.00;0.24120100;0.00;0.00000000;0.00;
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;2020-01-01;2020-12-31;0.00;0.18403500;0.00;0.00000000;0.00;
00.192.769/0001-59;2021-01-01;1;105168;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2018-01-01;2018-12-31;-2411370.31;0.00000000;0.00;0.00000000;0.00;
00.192.769/0001-59;2021-01-01;1;105168;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2019-01-01;2019-12-31;-7633810.22;0.00000000;0.00;0.00000000;0.00;
00.192.769/0001-59;2021-01-01;1;105168;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2020-01-01;2020-12-31;-6680035.00;0.00000000;0.00;0.00000000;0.00;
00.194.724/0001-13;2021-01-01;4;113341;AUREN OPERAÇÕES S.A.;2018-01-01;2018-12-31;18806.02;0.00900000;18806.02;0.00000000;0.00;2021-05-13
00.194.724/0001-13;2021-01-01;4;113341;AUREN OPERAÇÕES S.A.;2019-01-01;2019-12-31;9014.72;0.00400000;9014.72;0.00000000;0.00;2021-05-13
00.194.724/0001-13;2021-01-01;4;113341;AUREN OPERAÇÕES S.A.;2020-01-01;2020-12-31;-40917.22;0.01900000;-40917.22;0.00000000;0.00;2021-05-13
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2018-01-01;2018-12-31;6319000.00;0.00000000;6040000.00;0.00000000;0.00;
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2019-01-01;2019-12-31;9164000.00;0.00000000;6477000.00;0.00000000;0.00;
