CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Data_Fim_Trimestre;Valor_Mobiliario;Mercado_Valor_Mobiliario;Entidade_Administradora_Mercado;Especie_Acao;Classe_Acao_Preferencial;Descricao_Outro_Valor_Mobiliario;Valor_Volume_Negociado;Valor_Maior_Cotacao;Valor_Menor_Cotacao;Escala_Cotacao;Valor_Cotacao_Media
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2020-01-01;2020-12-31;2020-03-31;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;45412288991.00;53.97;21.91;Reais por ação;44.11
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2020-01-01;2020-12-31;2020-06-30;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;42772115864.00;38.17;24.00;Reais por ação;30.15
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2020-01-01;2020-12-31;2020-09-30;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;33897327937.00;36.20;29.47;Reais por ação;33.24
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2020-01-01;2020-12-31;2020-12-31;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;35862517511.00;39.79;29.16;Reais por ação;34.08
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2019-01-01;2019-12-31;2019-03-31;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;35479381794.00;55.91;46.09;Reais por ação;49.36
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2019-01-01;2019-12-31;2019-06-30;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;33989058551.00;54.28;44.55;Reais por ação;49.17
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2019-01-01;2019-12-31;2019-09-30;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;32043144919.00;55.70;43.44;Reais por ação;47.06
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2019-01-01;2019-12-31;2019-12-31;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;36690662857.00;53.67;43.01;Reais por ação;46.39
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2018-01-01;2018-12-31;2018-03-31;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;23447007041.00;44.30;32.09;Reais por ação;37.66
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2018-01-01;2018-12-31;2018-06-30;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;23120311575.00;41.75;24.14;Reais por ação;31.91
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2018-01-01;2018-12-31;2018-09-30;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;21237200890.00;34.24;26.76;Reais por ação;30.13
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2018-01-01;2018-12-31;2018-12-31;Ações;Bolsa;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;35170978890.00;46.49;28.20;Reais por ação;41.32
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;2020-03-31;Ações;Balcão Organizado;BM&FBOVESPA S.A. - Bolsa de Valores, Mercadorias e Futuros;Ordinária;;;11501.00;60.00;55.01;Reais por ação;57.51
