CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Descricao_Bem_Ativo;Pais;UF;Municipio;Tipo_Propriedade
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Ed. BB DF;Brasil;DF;Brasília;Alugada
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Ed. Sede III;Brasil;DF;Brasília;Alugada
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Ed. Datacenter;Brasil;DF;Brasília;Própria
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;ICI BB;Brasil;DF;Brasília;Própria
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Ed. Sede IV;Brasil;DF;Brasília;Própria
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Ed. CARJ;Brasil;RJ;Rio de Janeiro;Alugada
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Ed. Sedan;Brasil;RJ;Rio de Janeiro;Própria
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Ed. BB SP;Brasil;SP;São Paulo;Alugada
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Verbo Divino;Brasil;SP;São Paulo;Própria
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Complexo São João;Brasil;SP;São Paulo;Alugada
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Ed. Cacex;Brasil;SP;São Paulo;Alugada
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Ed. Ansarah;Brasil;SP;São Paulo;Alugada
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT - UTE Mauá - desativados os blocos I, II e III;Brasil;AM;Manaus;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT - UTE Aparecida;Brasil;AM;Manaus;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT - UTE Electron (desativada);Brasil;AM;Manaus;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT - Manauara;Brasil;AM;Manaus;Alugada
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT - UTE Flores;Brasil;AM;Manaus;Alugada
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT - Tambaqui;Brasil;AM;Manaus;Alugada
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT - Jaraqui;Brasil;AM;Manaus;Alugada
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT - UTE Iranduba;Brasil;AM;Manaus;Alugada
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT - Ponta Negra;Brasil;AM;Manaus;Alugada
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT - RAESA - Cristiano Rocha;Brasil;AM;Manaus;Alugada
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;CGT Eletrosul - Usina Termelétrica - Candiota III;Brasil;RS;Candiota;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Casa Nova A;Brasil;BA;Casa Nova;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Acauã;Brasil;BA;Pindaí;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT - UHE Balbina;Brasil;AM;Presidente Figueiredo;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Amazonas GT - UTE Mauá 3;Brasil;AM;Manaus;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Casa Nova II;Brasil;BA;Casa Nova;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Casa Nova III;Brasil;BA;Casa Nova;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - Usina Hidrelétrica - Tucuruí;Brasil;PA;Tucuruí;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - Usina Hidrelétrica - Samuel;Brasil;RO;Candeias do Jamari;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Angical 2;Brasil;BA;Pindaí;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronuclear - Usina Nuclear - Angra 1;Brasil;RJ;Angra dos Reis;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronuclear - Usina Nuclear - Angra 2;Brasil;RJ;Angra dos Reis;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronuclear - Usina Nuclear - Angra 3;Brasil;RJ;Angra dos Reis;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;CGT Eletrosul - Usina Hidrelétrica - Governador Jayme Canet Júnior;Brasil;PR;Telêmaco Borba;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;CGT Eletrosul - Usina Eólica - Cerro Chato I, II e III;Brasil;RS;Sant Ana do Livramento;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;CGT Eletrosul - Usina Hidrelétrica - Passo São João;Brasil;RS;Dezesseis de Novembro;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;CGT Eletrosul - Usina Hidrelétrica - São Domingos;Brasil;MS;Ribas do Rio Pardo;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletrosul - Usina Hidrelétrica - Jirau (SPE);Brasil;RO;;
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - UHE Furnas;Brasil;MG;São João Batista do Glória;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - UHE Luiz Carlos Barreto de Carvalho (Estreito);Brasil;SP;Pedregulho;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - UHE Marimbondo;Brasil;MG;Fronteira;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - UHE Itumbiara;Brasil;GO;Itumbiara;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Hidrelétrica - Peixe Angical (SPE);Brasil;TO;Peixe;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Hidrelétrica - Foz do Chapecó (SPE);Brasil;SC;Águas de Chapecó;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Hidrelétrica - Santo Antônio (SPE);Brasil;RO;Porto Velho;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Hidrelétrica São Manoel (SPE);Brasil;MT;Paranaíta;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Hidrelétrica Teles Pires (SPE);Brasil;MT;Paranaíta;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Hidrelétrica - Três Irmãos (SPE);Brasil;SP;Pereira Barreto;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Termelétrica - Campos;Brasil;RJ;Campos dos Goytacazes;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - Usina Termelétrica - Santa Cruz;Brasil;RJ;Pirenópolis;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Arapapá;Brasil;BA;Pindaí;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - UHE - Serra da Mesa;Brasil;GO;Minaçu;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Caititú 2;Brasil;BA;Pindaí;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Hidrelétrica - Sobradinho;Brasil;BA;Sobradinho;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Caititú 3;Brasil;BA;Pindaí;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Carcará;Brasil;BA;Pindaí;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Corrupião 3;Brasil;BA;Pindaí;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Teiú 2;Brasil;BA;Pindaí;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Papagaio;Brasil;BA;Pindaí;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Coqueirinho 2;Brasil;BA;Pindaí;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Eólica - Tamanduá Mirim 2;Brasil;BA;Pindaí;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Chesf - Usina Hidrelétrica - Curemas;Brasil;PB;Coremas;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Eletronorte - Usina Hidrelétrica - Curuá-Una;Brasil;PA;Santarém;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - UHE Furnas;Brasil;MG;São José da Barra;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Norte Brasil Transmissora de Energia S.A. (NBTE);Brasil;RO;;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Furnas - UHE Mascarenhas de Moraes (Peixoto);Brasil;MG;Ibiraci;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Transnorte Energia S.A. (TNE);Brasil;RR;;
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Companhia Energética Sinop S.A.;Brasil;MT;Sinop;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Norte Brasil Transmissora de Energia S.A. (NBTE);Brasil;RO;;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Belo Monte Transmissora de Energia S.A. (BMTE);Brasil;PA;;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Norte Energia S.A.;Brasil;PA;Vitória do Xingu;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Energética Águas da Pedra S.A. (EAPSA);Brasil;MT;Aripuanã;Própria
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;CGT Eletrosul - Usina Eólica - Coxilha Seca, Capão do Inglês e Galpões;Brasil;RS;Sant Ana do Livramento;Própria
