CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Auditor;Auditor;CPF_Auditor;CNPJ_Auditor;Codigo_CVM_Auditor;Tipo_Origem_Auditor;Data_Inicio_Contratacao;Data_Fim_Contratacao;Data_Inicio_Prestacao_Servico;Servico_Contratado;Remuneracao_Auditor;Justificativa_Substituicao;Razao_Apresentada
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;104564;KPMG Auditores Independentes;;57755217000129;004189;Nacional;2016-03-17;;;Prestação (i) de serviços de auditoria sobre as demonstrações contábeis do Conglomerado Banco do Brasil, relativo ao exercício social encerrado em 31 de dezembro de 2018, elaboradas de acordo com as práticas contábeis adotadas no Brasil e com as normas internacionais de contabilidade (IFRS - International Financial Reporting Standards) emitidas pelo International Accounting Standards Board (IASB) e (ii) de serviços de auditoria independente para auditoria dos valores cedidos à União, por ocasião do Programa de Fortalecimento das Instituições Financeiras Federais, estabelecido pela MP 2.196, de 24/08/2001, referente a carteira de créditos agrícolas renegociados ao amparo do Programa Especial de Saneamento de Ativos - PESA (Resolução CMN 2.471, de 26/02/1998) (iii) de prestação de serviços de revisão de números e emissão de carta conforto no âmbito de oferta pública de valores mobiliários.;No ano de 2019 foram pagos (i) R$ 6.237.414,89 referentes ao contrato 201685580016, de prestação de serviços de auditoria contábil, (ii) R$ 424.050,00 referentes aos contratos de não auditoria.;Atingimento do limite legal de acréscimos de serviços contratados, conforme Lei 8.666/93, e obrigatoriedade de rodízio da empresa contratada para realização de trabalhos de auditoria externa na BB Seguridade Participações S.A. O Banco do Brasil obteve anuência da KPMG com relação à justificativa para a referida mudança, nos termos do art. 28 da Instrução CVM 308/99.;N/A.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;104565;Deloitte Touche Tohmatsu Auditores Independentes;;49928567000898;003859;Nacional;2019-02-27;;;Prestação de serviços (i) de auditoria contábil sobre as demonstrações contábeis do Conglomerado Banco do Brasil, elaboradas de acordo com as práticas contábeis adotadas no Brasil e com as normas internacionais de contabilidade (IFRS - International Financial Reporting Standards) emitidas pelo International Accounting Standards Board (IASB) e (ii) de outros serviços correlatos relativos ao exercício social encerrado em 31 de dezembro de 2020 e prestação de serviços de revisão de números e emissão de carta conforto no âmbito de oferta pública de valores mobiliários.;No ano de 2020 foram pagos (i) R$ 14.488.013,21 referentes ao contrato 201985580011, de prestação de serviços de auditoria contábil sobre as demonstrações contábeis do Conglomerado Banco do Brasil e serviços correlatos, (ii) R$ 592.275,75 referentes aos contratos de não auditoria.;Não aplicável.;Não aplicável.
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;104161;Ernst & Young Auditores Independentes S.S;;61366936000125;004715;Nacional;2015-03-10;;;Os serviços contratados relativos aos exercícios de 2020 e 2021 compreendem (i) auditoria das demonstrações financeiras de acordo com as práticas contábeis adotadas no Brasil para instituições financeiras para os semestres findos em 30 de junho e semestres e exercícios findos em 31 de dezembro (ii) auditoria das demonstrações financeiras individuais das empresas não financeiras, para os exercícios findos em 31 de dezembro (iii) auditoria das demonstrações financeiras consolidadas, elaboradas adotando-se o padrão contábil internacional (IFRS), de acordo com os pronunciamentos emitidos pelo IASB, em cumprimento à Resolução do Bacen nº 3.786/2009 (iv) auditoria sobre o Balancete Patrimonial Analítico - Conglomerado Prudencial nos semestres findos em 30 de junho e 31 de dezembro, de acordo com a Resolução nº 4.280/2013 e Circular nº 3.701/2014, emitidas pelo BCB (v) revisão especial de ITR e DFP, para a CVM (vi) emissão de relatório circunstanciado (vii) revisão das bases de cálculo e dos recolhimentos de tributos (vii) revisão de obrigações acessórias: EFD-Reinf, EFD Contribuições ECFDIRF DCTF DCTF Web DCOMP e ECD, das obrigações fiscais do Distrito Federal e dos municípios vinculadas ao ISS (viii) revisão dos procedimentos utilizados pela administração quanto aos registros contábeis do e controle do ativo imobilizado, com emissão do relatório de asseguração para o período de 1º de janeiro a 31 de dezembro (ix) revisão sobre a adequação dos registros e procedimentos sobre operações realizadas com recursos do Agente Operador do FGTS (x) revisão de Asseguração Limitada quanto à conformidade do Anexo I - Aplicação dos recursos financeiros recebidos do FCO conforme Manual de Operações do Fundo do Centro-Oeste e NBCTO 3000 do Conselho Federal de Contabilidade do para os períodos a findarem em 30 de junho e 31 de dezembro (xi) revisão sobre a adequação dos registros contábeis do conjunto de operações realizadas com recursos do BNDES (xii) revisão semestral quanto aos critérios adotados quanto à classificação nos níveis de risco e de avaliação do aprovisionamento registrado nas demonstrações financeiras, em atendimento ao artigo 12, da Resolução CMN nº 2.682/1999 (xiii) auditoria da adoção dos novos critérios contábeis para constituição de provisão para perdas esperadas associadas ao risco de crédito previstos no Edital de Consulta Pública 60/2017, do BCB, bem como sua implantação em substituição à Resolução CMN nº 2.682/1999 (xiv) revisão semestral quanto aos critérios contábeis para constituição de provisão para perdas esperadas associadas ao risco de crédito, adotados pela instituição, quanto a regras do Edital de Consulta Pública 60/2017, do BCB (xv) auditoria da adoção dos novos critérios contábeis para a classificação, mensuração e reconhecimento de instrumentos financeiros previstos no Edital de Consulta Pública 54/2017, do BCB, bem como sua implantação (xvi) revisão semestral quanto aos critérios contábeis para a classificação, mensuração e reconhecimento de instrumentos financeiros previstos no Edital de Consulta Pública 54/2017, do BCB (xvii) revisão quanto aos aspectos atuariais do planos de benefícios e (xviii) assessoramento técnico tributário e contábil, inclusive, por ocasião da elaboração das demonstrações financeiras e das obrigações tributárias acessórias (xix) auditoria de revisão de asseguração e emissão de relatório sobre prospecto de oferta pública de ações do Banco no mercado interno, conforme Instrução da CVM nº 400, sob demanda e (xx) auditoria das demonstrações financeiras individuais e anual do Instituto BRB, de acordo com as práticas contábeis adotadas no Brasil para as instituições do Terceiro Setor, emitidas pelo CFC.;Durante o exercício social encerrado em 31 de dezembro de 2020, os honorários incorridos com os auditores independentes em razão da prestação dos serviços acima mencionados foram no montante bruto de R$2.023.980,00.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;100813;KPMG Auditores Independentes;;57755217000390;004189;Nacional;2014-01-01;;;Serviços regulares e especiais de auditoria independente, sobre as Demonstrações Financeiras individuais e consolidadas, para fins locais (CPC/CVM) e IASB/SEC, dos exercícios de 2015, 2016 e 2017 e a Revisão das Informações Trimestrais (1T2015, 2T2015, 3T2015, 1T2016, 2T2016, 3T2016, 1T2017, 2T2017 e 3T2017). Revisão dos procedimentos fiscais e tributários, o exame das demonstrações financeiras e informações complementares requeridas pela Agência Reguladora (ANEEL), CVM e Instituições Financeiras (p.ex. BIRD/BID), emissão de relatórios especiais e documentos decorrentes dos serviços prestados, além do exame dos controles internos segundo normas do IBRACON e da Lei Norte-Americana Sarbanes-Oxley - SOX, com a emissão de relatórios requeridos.;No exercício social encerrado em 31 de dezembro de 2018, os auditores independentes da Companhia, em contrapartida aos serviços de auditoria contábil externa prestados, receberam honorários que totalizaram o valor de R$19.407.354,69 (considerando os serviços prestados para as empresas Eletrobras consolidadas em suas demonstrações financeiras).;A substituição visou atender ao disposto no artigo 31 da Instrução CVM 308/99, o qual determina a rotatividade dos auditores independentes a cada cinco anos.;Não aplicável, uma vez que não houve discordância por parte do auditor.
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;100814;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES;;61562112000120;002879;Nacional;2019-04-02;;;Serviços regulares de auditoria independente, sobre as Demonstrações Financeiras individuais e consolidadas, para fins locais (CPC/CVM) e IASB/SEC, dos exercícios de 2019 e 2020, e a Revisão das Informações Trimestrais (1T2019, 2T2019, 3T2019, 1T2020, 2T2020, 3T2020). Revisão dos procedimentos fiscais e tributários, o exame das demonstrações financeiras e informações complementares requeridas pela Agência Reguladora (ANEEL), CVM e Instituições Financeiras (p.ex. BIRD/BID), emissão de relatórios especiais e documentos decorrentes dos serviços prestados, além do exame dos controles internos segundo normas do IBRACON e da Lei Norte-Americana Sarbanes-Oxley - SOX, com a emissão de relatórios requeridos.;No exercício social encerrado em 31 de dezembro de 2020, os auditores independentes da Companhia, em contrapartida aos serviços prestados, receberam honorários que totalizaram o valor de R$ 24,5 milhões (considerando os serviços prestados para as empresas Eletrobras consolidadas em suas demonstrações financeiras).;Não aplicável.;Não aplicável.
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;102787;RUSSELL BEDFORD BRASIL AUDITORES INDEPENDENTES S/S;;13098174000180;011592;Nacional;2019-10-25;;;Contratação de Serviços Regulares de Auditoria Independente, compreendendo a Auditoria das Demonstrações Financeiras da Companhia Energética de Brasília - CEB, (Individual e Consolidada), relativas aos exercícios sociais a findarem-se em 31 de dezembro de 2019, 2020, 2021, 2022 e 2023 e a Revisão das Informações Trimestrais (ITRs), relativas aos trimestres a findarem-se em 31 de março, 30 de junho e 30 de setembro de 2019, 2020, 2021, 2022 e 2023. Inclui, também, a revisão dos procedimentos fiscais e tributários, o exame das informações complementares requeridas pela Comissão de Valores Mobiliários - CVM, bem como a emissão de outros relatórios especiais e documentos decorrentes dos serviços prestados, conforme Projeto Básico Conjunto nº 01/2018 - CEB e CEB Distribuição S/A, Anexo IV do Edital.;O valor global deste Contrato é de R$ 336.800,00 (trezentos e trinta e seis mil e oitocentos reais)..;Artigo 28 IN CVM 308/99;Não tem
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;101318;KPMG Auditores Independentes ("KPMG");;57755217001877;004189;Nacional;2017-04-01;;;Os serviços contratados compreendem: (i) auditoria independente das demonstrações financeiras individuais e consolidadas da Caramuru Alimentos S.A. referentes aos exercícios sociais encerrados em 31 de dezembro de 2017, 2018, 2019 e até 30 de junho de 2020, preparadas de acordo com as práticas contábeis adotadas no Brasil (BR GAAP) e International Financial Reporting Standards - IFRS (ii) Linha Ética e Compliance (iii) Assessoria tributária (PIS/COFINS);(i)Auditoria independente de 31 de março de 2017, 2018, 2019 e 2020 : R$ 2.488,126,00(ii)Linha Ética e Compliance R$ 221.842,63(iii)Assessoria tributária (PIS/COFINS) R$ 1.103.469,05;A substituição da KPMG pela Deloitte visa a atender às boas práticas de governança corporativa e se deu em razão da necessidade de se evitar eventual conflito de interesses na prestação de serviços de consultoria (Linha Ética e Compliance), assessoria tributária (PIS/COFINS) e auditoria contábil, prestados pela KPMG. Neste sentido, sempre em busca de maior efetividade de seus controles, preservando a independência entre os prestadores dos serviços, a KPMG prestará os serviços de consultoria, relativos à Linha Ética e Compliance, assessoria tributária, PIS/COFINS, e, a empresa Deloitte os serviços de auditoria externa/contábil.;Não aplicável
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;101319;Deloitte Touche Tohmatsu Auditores Independentes ("Deloitte");;49928567001860;003859;Nacional;2020-10-16;;;Os auditores independentes prestaram serviços relacionados: (i) à auditoria independente das demonstrações financeiras individuais e consolidadas da Caramuru Alimentos S.A. referentes aos exercícios sociais encerrados em 31 de dezembro de 2020, 2019 e 2018, preparadas de acordo com as práticas contábeis adotadas no Brasil (BR GAAP) e International Financial Reporting Standards - IFRS (ii) à revisão das informações financeiras intermediárias referentes aos trimestres findos em 31 de março de 2020, 30 de setembro de 2020 e a findar-se em 31 de março de 2021 e (iii) aos trabalhos de diagnóstico contábil e fiscal, treinamentos relacionados a governança corporativa e auditoria interna.;(i)Auditoria independente de 31 de dezembro de 2020, 2019 e 2018: R$ 1.427.726,00(ii)Revisão das informações intermediárias: R$ 218.465,00(iii)Trabalhos de diagnóstico fiscal, treinamentos relacionados a governança corporativa e auditoria interna: R$ 208.522,00;Não aplicável;Não aplicável
00.192.769/0001-59;2021-01-01;1;105168;NEUMARKT TRADE AND FINANCIAL CENTER S/A;95173;IAUD - AUDITORES INDEPENDENTES S/S;;97424758000199;124400;Nacional;2017-04-01;;;Auditoria das Demonstrações Financeiras e Revisão das Informações Trimestrais - ITRS.Parecer do auditor independente.;R$ 24.000,00;;
00.194.724/0001-13;2021-01-01;4;113341;AUREN OPERAÇÕES S.A.;102102;KPMG - Auditores Independentes;;57755217000129;004189;Nacional;2021-05-07;;;Os auditores independentes prestaram os seguintes serviços para a Companhia: (i) auditoria das demonstrações financeiras individuais e consolidadas para os exercícios sociais findos em 31 de dezembro de 2020, 2019 e 2018 especialmente elaboradas para fins de registro da Companhia como emissor perante a Comissão de Valores Mobiliários ("CVM") (ii) revisão e emissão relatório sobre as Informações Trimestrais (ITRs) individuais e consolidadas requeridas pela CVM para os trimestres em 31 de março, 30 de junho e 30 de setembro, do exercício de 2021, com free translation.;Tendo em vista que a contratação dos auditores independentes pela Companhia foi realizada no exercício corrente, não foi realizado qualquer pagamento aos auditores independentes no exercício social encerrado em 31 de dezembro de 2020.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.
