CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Quantidade_Pessoa_Fisica;Quantidade_Pessoa_Juridica;Quantidade_Investidor
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Debêntures;1576;16;494
00.192.769/0001-59;2021-01-01;1;105168;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Debêntures;0;1;0
00.383.281/0001-09;2021-01-01;11;113008;BNDES PARTICIPACOES S.A. - BNDESPAR;Debêntures;0;0;0
00.389.481/0001-79;2021-01-01;3;114534;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Debêntures;0;1;94
00.545.378/0001-70;2021-01-01;2;105553;SERRA AZUL WATER PARK SA;Debêntures Conversíveis;0;0;0
00.622.416/0001-41;2021-01-01;12;113936;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Debêntures;0;1;0
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Debêntures;46;41;964
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Nota Comercial;3;5;175
00.864.214/0001-06;2021-01-01;13;115599;ENERGISA S.A.;Debêntures;11158;282;346
00.864.214/0001-06;2021-01-01;13;115599;ENERGISA S.A.;Nota Comercial;0;0;10
00.897.864/0001-58;2021-01-01;2;104591;SANTA CATARINA PART INVEST SA;Debêntures;1;31;0
00.938.574/0001-05;2021-01-01;3;114104;CONC RIO-TERESOPOLIS S.A.;Debêntures Conversíveis;0;5;0
00.974.211/0001-25;2021-01-01;4;114592;LINHA AMARELA S.A. - LAMSA;Debêntures;0;1;0
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Debêntures;0;50;1
01.107.327/0001-20;2021-01-01;3;115844;BBM LOGÍSTICA S.A.;Debêntures;0;0;2
01.319.044/0001-41;2021-01-01;1;103915;WTC AMAZONAS SUITE HOTEL S.A.;Debêntures;0;153153;0
01.417.222/0001-77;2021-01-01;5;114007;MRS LOGISTICA S.A.;Debêntures;2211;68;0
01.543.032/0001-04;2021-01-01;13;113815;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Nota Comercial;0;174;0
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;Certificados de Depósito de Valores Mobiliários;0;0;1
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;Debêntures;307;1;1
01.599.101/0001-93;2021-01-01;27;115071;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Debêntures;16;10;0
01.616.929/0001-02;2021-01-01;9;113851;SANEAMENTO DE GOIAS SA;Debêntures;4;1;273
01.838.723/0001-27;2021-01-01;11;111776;BRF S.A.;Debêntures;19730;286;44
01.917.818/0001-36;2021-01-01;11;114216;LIGHT ENERGIA S.A.;Debêntures;0;0;1
01.957.772/0001-89;2021-01-01;2;105881;SUL 116 PARTICIPACOES S.A.;Debêntures;0;0;0
01.989.044/0001-59;2021-01-01;1;103950;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Debêntures;0;678;0
02.105.040/0001-23;2021-04-01;3;108918;VIRGO II COMPANHIA DE SECURITIZACAO;Certificado de Recebíveis do Agronegócio;7804;31;0
02.105.040/0001-23;2021-04-01;3;108918;VIRGO II COMPANHIA DE SECURITIZACAO;Certificados de Recebíveis Imobiliários;2200;82;0
02.105.040/0001-23;2021-12-31;1;100560;VIRGO II COMPANHIA DE SECURITIZACAO;Certificado de Recebíveis do Agronegócio;7804;31;0
02.105.040/0001-23;2021-12-31;1;100560;VIRGO II COMPANHIA DE SECURITIZACAO;Certificados de Recebíveis Imobiliários;2200;82;0
02.201.787/0001-85;2021-01-01;1;105190;CEL PARTICIPAÇÕES S.A. - CELPAR;Debêntures;0;0;0
02.255.187/0001-08;2021-01-01;7;115680;UNIFIQUE TELECOMUNICAÇÕES S.A.;Debêntures;23;1;16
02.286.479/0001-08;2021-01-01;5;113804;LOCALIZA FLEET S.A.;Debêntures;0;0;89
02.291.077/0001-93;2021-01-01;2;103648;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;Debêntures;1;0;7
02.302.100/0001-06;2021-01-01;6;111045;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Debêntures;0;2;101
02.302.100/0001-06;2021-01-01;6;111045;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Nota Comercial;0;0;3
02.338.534/0001-58;2021-01-01;2;109598;LONGDIS S.A.;Bônus de Subscrição;0;0;0
