CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Reducao;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes
07.253.321/0001-47;2021-01-01;1;105092;CARBOMIL SA MINER. E INDUSTRIA;12420;Preferencial Classe A;1
14.998.371/0001-19;2021-01-01;3;114136;J. MACEDO S.A.;13480;Preferencial Classe A;1642891
14.998.371/0001-19;2021-01-01;3;114136;J. MACEDO S.A.;13480;Preferencial Classe B;41
33.352.394/0001-04;2021-01-01;5;115457;CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE;13656;Preferencial Classe A;90050693404
62.002.886/0001-60;2021-01-01;15;114732;SAO PAULO TURISMO S.A.;13621;Preferencial Classe A;2939
62.002.886/0001-60;2021-01-01;15;114732;SAO PAULO TURISMO S.A.;13621;Preferencial Classe B;419
