CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social_Desdobramento;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes_Antes_Aprovacao;Quantidade_Acoes_Depois_Aprovacao
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;27912;Preferencial Classe A;1313002;6565010
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;27912;Preferencial Classe B;5919203;29596015
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;28223;Preferencial Classe A;21002999;2100229
07.253.321/0001-47;2021-01-01;1;105092;CARBOMIL SA MINER. E INDUSTRIA;25804;Preferencial Classe A;1;66
14.807.945/0001-24;2021-01-01;3;113722;SANSUY S.A. INDUSTRIA DE PLASTICOS;27829;Preferencial Classe A;126307;5052280
14.807.945/0001-24;2021-01-01;3;113722;SANSUY S.A. INDUSTRIA DE PLASTICOS;27829;Preferencial Classe B;155;6200
15.073.274/0001-88;2021-01-01;2;111192;PPLA PARTICIPATIONS LTD.;27325;Preferencial Classe A;273031855;30336873
15.073.274/0001-88;2021-01-01;2;111192;PPLA PARTICIPATIONS LTD.;27325;Preferencial Classe B;546063710;60673476
15.073.274/0001-88;2021-01-01;2;111192;PPLA PARTICIPATIONS LTD.;27325;Preferencial Classe C;1;1
15.073.274/0001-88;2021-01-01;2;111192;PPLA PARTICIPATIONS LTD.;27326;Preferencial Classe A;28146673;938222
15.073.274/0001-88;2021-01-01;2;111192;PPLA PARTICIPATIONS LTD.;27326;Preferencial Classe B;56293346;1876444
15.073.274/0001-88;2021-01-01;2;111192;PPLA PARTICIPATIONS LTD.;27326;Preferencial Classe C;1;1
33.200.049/0001-47;2021-01-01;1;104551;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;25687;Preferencial Classe A;78944947;7894494
33.228.024/0001-51;2021-01-01;8;114390;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;28021;Preferencial Classe A;3968690;19843450
33.958.695/0001-78;2021-01-01;17;115522;UNIPAR CARBOCLORO S.A.;28178;Preferencial Classe A;2318710;2529502
33.958.695/0001-78;2021-01-01;17;115522;UNIPAR CARBOCLORO S.A.;28178;Preferencial Classe B;53381427;58234284
33.958.695/0001-78;2021-01-01;17;115522;UNIPAR CARBOCLORO S.A.;28179;Preferencial Classe A;2410333;2812055
33.958.695/0001-78;2021-01-01;17;115522;UNIPAR CARBOCLORO S.A.;28179;Preferencial Classe B;54528353;63616412
33.958.695/0001-78;2021-01-01;17;115522;UNIPAR CARBOCLORO S.A.;28180;Preferencial Classe A;2055375;2260912
33.958.695/0001-78;2021-01-01;17;115522;UNIPAR CARBOCLORO S.A.;28180;Preferencial Classe B;59369527;65306479
60.637.238/0001-54;2021-01-01;13;111022;BLUE TECH SOLUTIONS EQI S.A.;27263;Preferencial Classe A;2713023;90435
60.637.238/0001-54;2021-01-01;13;111022;BLUE TECH SOLUTIONS EQI S.A.;27264;Preferencial Classe A;3346095;13384380
61.082.004/0001-50;2021-01-01;4;110814;MANUFATURA DE BRINQUEDOS ESTRELA S.A.;27201;Preferencial Classe A;10777990;538900
61.088.894/0001-08;2021-01-01;3;114008;CAMBUCI S.A.;27921;Preferencial Classe A;24539400;24539400
61.088.894/0001-08;2021-01-01;3;114008;CAMBUCI S.A.;27922;Preferencial Classe A;24539400;25464982
61.088.894/0001-08;2021-01-01;3;114008;CAMBUCI S.A.;27923;Preferencial Classe A;24539400;25464982
61.088.894/0001-08;2021-01-01;3;114008;CAMBUCI S.A.;27924;Preferencial Classe A;25464982;2546498
61.088.894/0001-08;2021-01-01;3;114008;CAMBUCI S.A.;27925;Preferencial Classe A;2768851;27688510
76.483.817/0001-20;2021-01-01;9;114634;CIA PARANAENSE DE ENERGIA - COPEL;28079;Preferencial Classe A;326752;3267520
76.483.817/0001-20;2021-01-01;9;114634;CIA PARANAENSE DE ENERGIA - COPEL;28079;Preferencial Classe B;128297543;1282975430
82.643.537/0001-34;2021-01-01;7;112790;ELECTRO ACO ALTONA S.A.;27688;Preferencial Classe A;1275000;12750000
84.693.183/0001-68;2021-01-01;5;113893;SCHULZ S.A.;27880;Preferencial Classe U;36550360;51170504
84.693.183/0001-68;2021-01-01;5;113893;SCHULZ S.A.;27881;Preferencial Classe U;51170504;102341008
84.693.183/0001-68;2021-01-01;5;113893;SCHULZ S.A.;27882;Preferencial Classe U;102341008;204682016
