CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Nome_Responsavel;Cargo_Responsavel
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;José Ricardo Fagonde Forni;Diretor de Relações com Investidores
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;Fausto de Andrade Ribeiro;Diretor Presidente
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;Paulo Henrique Bezerra Rodrigues Costa;Diretor Presidente
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;Cynthia Judite Perciano Borges;Diretor de Relações com Investidores
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Elvira Baracuhy Cavalcanti Presta;Diretor de Relações com Investidores
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Rodrigo Limp Nascimento;Diretor Presidente
00.070.698/0001-11;2021-01-01;7;113985;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;MARLON REZENDE JÚNIOR;Diretor de Relações com Investidores
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;Júlio César da Costa;Diretor Presidente
00.080.671/0001-00;2021-01-01;4;111878;CARAMURU ALIMENTOS S.A.;Marcus Erich Thieme;Diretor de Relações com Investidores
00.192.769/0001-59;2021-01-01;1;105168;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Jaimes Bento de Almeida Neto;Diretor de Relações com Investidores
00.192.769/0001-59;2021-01-01;1;105168;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Jaimes Bento de Almeida Junior;Diretor Presidente
00.194.724/0001-13;2021-01-01;4;113341;AUREN OPERAÇÕES S.A.;Clarissa Della Nina Sadock Accorsi;Diretor Presidente/Relações com Investidores
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Fernando Pereira Aragão;Diretor Presidente
00.242.184/0001-04;2021-01-01;10;115247;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Pedro Camargo Lemos;Diretor de Relações com Investidores
00.272.185/0001-93;2021-01-01;2;111834;CIMS S.A.;José Guilherme Cruz Souza;Diretor de Relações com Investidores
00.272.185/0001-93;2021-01-01;2;111834;CIMS S.A.;Bruno Augusto Sacchi Zaremba;Diretor Presidente
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;José Maria Junqueira Sampaio Meirelles;Diretor de Relações com Investidores
00.336.701/0001-04;2021-01-01;16;115640;TELEC BRASILEIRAS S.A. TELEBRAS;Jarbas José Valente;Diretor Presidente
00.359.742/0001-08;2021-01-01;4;113894;FICTOR ALIMENTOS S.A.;ANA CAROLINA PAIFER;Diretor Presidente
00.359.742/0001-08;2021-01-01;4;113894;FICTOR ALIMENTOS S.A.;DANILO RODRIGO CISOTTO;Diretor de Relações com Investidores
00.383.281/0001-09;2021-01-01;11;113008;BNDES PARTICIPACOES S.A. - BNDESPAR;Gustavo Henrique Moreira Montezano;Diretor Presidente
00.383.281/0001-09;2021-01-01;11;113008;BNDES PARTICIPACOES S.A. - BNDESPAR;Bruno Laskowsky;Diretor de Relações com Investidores
00.389.481/0001-79;2021-01-01;3;114534;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Ricardo Soeiro dos Santos Cunha;Diretor Presidente
00.389.481/0001-79;2021-01-01;3;114534;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;André Passos Miranda;Diretor de Relações com Investidores
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;João Vitor Nazareth Menin Teixeira de Souza;Diretor Presidente
00.416.968/0001-01;2021-01-01;24;114143;BANCO INTER S.A.;Helena Lopes Caldeira;Diretor de Relações com Investidores
00.545.378/0001-70;2021-01-01;2;105553;SERRA AZUL WATER PARK SA;Alain Jean Pierre Baldacci;Diretor Presidente/Relações com Investidores
00.622.416/0001-41;2021-01-01;12;113936;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Leoze Lobo Maia Junior;Diretor de Relações com Investidores
00.644.907/0001-93;2021-01-01;1;105249;INVESTCO S.A.;Luiz Otavio Assis Henriques;Diretor Presidente/Relações com Investidores
00.743.065/0001-27;2021-01-01;3;114240;LITEL PARTICIPACOES S.A.;Carlos Eduardo Reich de Sampaio;Diretor Presidente/Relações com Investidores
00.776.574/0001-56;2021-01-01;15;115623;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Miguel Gomes Pereira Sarmiento Gutierrez;Diretor Presidente/Relações com Investidores
00.864.214/0001-06;2021-01-01;13;115599;ENERGISA S.A.;Maurício Perez Botelho;Diretor de Relações com Investidores
00.864.214/0001-06;2021-01-01;13;115599;ENERGISA S.A.;Ricardo Perez Botelho;Diretor Presidente
00.897.864/0001-58;2021-01-01;2;104591;SANTA CATARINA PART INVEST SA;Luciano da Silva Spindola;Diretor Presidente/Relações com Investidores
00.924.429/0001-75;2021-01-01;2;108092;FERROVIA CENTRO-ATLANTICA S.A.;Fábio Tadeu Marchiori Gama;Diretor de Relações com Investidores
00.924.429/0001-75;2021-01-01;2;108092;FERROVIA CENTRO-ATLANTICA S.A.;Gustavo Serrão Chaves;Diretor Presidente
00.938.574/0001-05;2021-01-01;3;114104;CONC RIO-TERESOPOLIS S.A.;Carlos Eduardo Soares de Menezes;Diretor de Relações com Investidores
00.974.211/0001-25;2021-01-01;4;114592;LINHA AMARELA S.A. - LAMSA;Gustavo Soares Figueiredo;Diretor de Relações com Investidores
00.979.969/0001-56;2021-01-01;1;103284;CAIXA ADM DIV PUB ESTADUAL SA;Luis Antonio Medina Gomez;Diretor de Relações com Investidores
00.979.969/0001-56;2021-01-01;1;103284;CAIXA ADM DIV PUB ESTADUAL SA;Carlos Eduardo Provenzano;Diretor Presidente
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Gustavo Henrique Santos de Sousa;Diretor Presidente/Relações com Investidores
01.083.200/0001-18;2021-01-01;10;115675;NEOENERGIA S.A.;Mario José Ruiz-Tagle Larrain;Diretor Presidente
01.083.200/0001-18;2021-01-01;10;115675;NEOENERGIA S.A.;Leonardo Pimenta Gadelha;Diretor de Relações com Investidores
01.104.937/0001-70;2021-01-01;5;114681;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Raul Balbi Sollero;Diretor Presidente
01.104.937/0001-70;2021-01-01;5;114681;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Ivo Sergio Baran;Diretor de Relações com Investidores
01.107.327/0001-20;2021-01-01;3;115844;BBM LOGÍSTICA S.A.;André Alarcon de Almeida Prado;Diretor Presidente
01.107.327/0001-20;2021-01-01;3;115844;BBM LOGÍSTICA S.A.;Marco Antonio de Modesti;Diretor de Relações com Investidores
01.258.944/0001-26;2021-01-01;4;115354;RUMO MALHA SUL S.A.;Ricardo Lewin;Diretor de Relações com Investidores
01.258.944/0001-26;2021-01-01;4;115354;RUMO MALHA SUL S.A.;João Alberto Fernandez de Abreu;Diretor Presidente
01.319.044/0001-41;2021-01-01;1;103915;WTC AMAZONAS SUITE HOTEL S.A.;BRUNO DE MELLO BOMENY;Diretor de Relações com Investidores
01.417.222/0001-77;2021-01-01;5;114007;MRS LOGISTICA S.A.;Guilherme Segalla de Mello;Diretor Presidente/Relações com Investidores
