CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Numero_Membros;Numero_Membros_Remunerados;Valor_Maior_Remuneracao;Valor_Menor_Remuneracao;Valor_Medio_Remuneracao;Observacao
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2018-01-01;2018-12-31;Conselho Fiscal;5.00;5.00;75500.70;75043.12;75329.87;O valor médio apurado para o Conselho de Administração é a razão de R$ 323.402,30 por 4,50, para o Conselho Fiscal é a razão de R$ 376.649,35 por 5,00 e da Diretoria Executiva é a razão de R$ 58.224.897,96 por 41,42. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2018-01-01;2018-12-31;Diretoria Estatutária;36.33;41.42;1758736.37;1095166.85;1405719.41;O valor médio apurado para o Conselho de Administração é a razão de R$ 323.402,30 por 4,50, para o Conselho Fiscal é a razão de R$ 376.649,35 por 5,00 e da Diretoria Executiva é a razão de R$ 58.224.897,96 por 41,42. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2018-01-01;2018-12-31;Conselho de Administração;7.25;4.50;75104.13;74921.10;71867.18;O valor médio apurado para o Conselho de Administração é a razão de R$ 323.402,30 por 4,50, para o Conselho Fiscal é a razão de R$ 376.649,35 por 5,00 e da Diretoria Executiva é a razão de R$ 58.224.897,96 por 41,42. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2019-01-01;2019-12-31;Conselho Fiscal;3.83;4.75;71382.48;71382.48;74262.83;O valor médio apurado para o Conselho de Administração é a razão de R$ 306.548,08 por 4,25, para o Conselho Fiscal é a razão de R$ 352.748,43 por 4,75 e da Diretoria Executiva é a razão de R$ 53.939.042,17 por 42,42. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2019-01-01;2019-12-31;Diretoria Estatutária;35.75;42.42;1372435.43;999361.79;1271547.43;O valor médio apurado para o Conselho de Administração é a razão de R$ 306.548,08 por 4,25, para o Conselho Fiscal é a razão de R$ 352.748,43 por 4,75 e da Diretoria Executiva é a razão de R$ 53.939.042,17 por 42,42. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2020-01-01;2020-12-31;Conselho de Administração;7.58;4.42;71079.18;71072.26;70668.73;O valor médio apurado para o Conselho de Administração é a razão de R$ 312.355,78 por 4,42, para o Conselho Fiscal é a razão de R$ 331.960,48 por 4,84 e da Diretoria Executiva é a razão de R$ 48.951.217,74 por 41,17. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2019-01-01;2019-12-31;Conselho de Administração;7.00;4.25;48579.74;24587.30;72128.96;O valor médio apurado para o Conselho de Administração é a razão de R$ 306.548,08 por 4,25, para o Conselho Fiscal é a razão de R$ 352.748,43 por 4,75 e da Diretoria Executiva é a razão de R$ 53.939.042,17 por 42,42. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;33.50;41.17;1449159.72;931191.17;1189002.13;O valor médio apurado para o Conselho de Administração é a razão de R$ 312.355,78 por 4,42, para o Conselho Fiscal é a razão de R$ 331.960,48 por 4,84 e da Diretoria Executiva é a razão de R$ 48.951.217,74 por 41,17. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.000/0001-91;2021-01-01;28;115866;BCO BRASIL S.A.;2020-01-01;2020-12-31;Conselho Fiscal;4.50;4.84;71072.26;71072.26;68586.88;O valor médio apurado para o Conselho de Administração é a razão de R$ 312.355,78 por 4,42, para o Conselho Fiscal é a razão de R$ 331.960,48 por 4,84 e da Diretoria Executiva é a razão de R$ 48.951.217,74 por 41,17. Os divisores correspondem ao número de membros remunerados de cada órgão.
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Conselho de Administração;5.00;5.00;8750.71;8750.71;9990.39;
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Diretoria Estatutária;7.92;7.92;45128.56;33846.42;51982.85;
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2018-01-01;2018-12-31;Conselho Fiscal;5.00;5.00;8750.71;8750.71;8750.71;
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Conselho Fiscal;4.75;4.75;8750.71;8750.71;8750.71;
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Diretoria Estatutária;6.83;6.83;45128.56;33846.42;53280.55;
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2019-01-01;2019-12-31;Conselho de Administração;7.00;7.00;8750.71;8750.71;8750.71;
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;Conselho Fiscal;5.00;5.00;9087.30;8750.71;9031.20;
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;7.42;7.42;47073.60;33846.42;57231.33;
00.000.208/0001-00;2021-01-01;13;115568;BRB BANCO DE BRASILIA S.A.;2020-01-01;2020-12-31;Conselho de Administração;5.58;5.58;9087.30;8750.71;9383.68;
00.001.180/0001-26;2021-01-01;7;111351;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2018-01-01;2018-12-31;Conselho Fiscal;5.00;5.00;76834.59;76834.59;76529.93;O valor de honorários distribuído entre os membros do Conselho de Fiscal é idêntico para todos os membros.O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício Circular/CVM/SEP/01/2021Nº01/2021.O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício Circular/CVM/SEP/01/2021Nº01/2021. Tendo em vista que na apuração do valor médio da remuneração foram contemplados todos os Conselheiros independente do número de meses que estiveram no cargo, enquanto que na apuração da menor remuneração foram excluídos quem ficou menos de 12 meses, o valor médio poderá ficar acima da maior remuneração ou abaixo da menor remuneração anual.
