CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Posicao;Quantidade_Ate30Anos;Quantidade_30a50Anos;Quantidade_Acima50Anos
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Liderança;71;1140;195
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Não-liderança;3128;9912;1714
07.237.373/0001-20;2023-12-31;20;136818;BCO NORDESTE DO BRASIL S.A.;Liderança;61;2026;671
07.237.373/0001-20;2023-12-31;20;136818;BCO NORDESTE DO BRASIL S.A.;Não-liderança;193;2457;1186
07.253.321/0001-47;2023-12-31;2;135697;CARBOMIL SA MINER. E INDUSTRIA;Liderança;0;0;4
07.253.321/0001-47;2023-12-31;2;135697;CARBOMIL SA MINER. E INDUSTRIA;Não-liderança;0;10;0
07.275.159/0001-68;2023-12-31;7;137227;PETROLEO LUB DO NORDESTE SA;Liderança;0;1;0
07.275.159/0001-68;2023-12-31;7;137227;PETROLEO LUB DO NORDESTE SA;Não-liderança;0;1;0
07.334.600/0001-35;2023-12-31;1;127088;MARINA DE IRACEMA PARK SA;Liderança;0;0;0
07.334.600/0001-35;2023-12-31;1;127088;MARINA DE IRACEMA PARK SA;Não-liderança;52;132;20
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;Liderança;371;2073;321
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;Não-liderança;13294;21768;5039
07.437.016/0001-05;2023-12-31;1;127753;CINESYSTEM S.A.;Liderança;34;68;4
07.437.016/0001-05;2023-12-31;1;127753;CINESYSTEM S.A.;Não-liderança;315;145;21
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;Liderança;2642;4513;272
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;Não-liderança;6266;12927;1588
07.594.978/0001-78;2023-12-31;16;138419;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Liderança;114;563;12
07.594.978/0001-78;2023-12-31;16;138419;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Não-liderança;2661;2920;86
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;Liderança;5;733;207
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;Não-liderança;2676;11178;1918
07.704.246/0001-93;2023-12-31;3;137029;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;Liderança;1;35;9
07.704.246/0001-93;2023-12-31;3;137029;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;Não-liderança;41;123;13
07.718.269/0001-57;2023-12-31;9;139822;SPRINGS GLOBAL PARTICIPACOES S.A.;Liderança;0;2;12
07.718.269/0001-57;2023-12-31;9;139822;SPRINGS GLOBAL PARTICIPACOES S.A.;Não-liderança;1;0;0
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Liderança;0;33;6
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Não-liderança;66;173;34
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Liderança;0;6;1
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Não-liderança;2;9;0
07.857.093/0001-14;2023-12-31;7;134376;AURA MINERALS INC.;Liderança;13;170;12
07.857.093/0001-14;2023-12-31;7;134376;AURA MINERALS INC.;Não-liderança;304;574;76
07.857.850/0001-50;2023-12-31;9;134240;GP INVESTMENTS, LTD.;Liderança;0;8;4
07.857.850/0001-50;2023-12-31;9;134240;GP INVESTMENTS, LTD.;Não-liderança;14;9;2
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;Liderança;2;34;6
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;Não-liderança;19;10;2
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Liderança;1;56;17
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Não-liderança;93;504;61
07.882.930/0001-65;2023-12-31;9;137635;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Liderança;9;93;4
07.882.930/0001-65;2023-12-31;9;137635;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Não-liderança;258;282;37
07.976.147/0001-60;2023-12-31;3;131570;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Liderança;108;478;32
07.976.147/0001-60;2023-12-31;3;131570;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Não-liderança;2140;2221;267
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;Liderança;0;26;6
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;Não-liderança;86;193;38
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Liderança;7;83;27
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Não-liderança;142;180;23
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;Liderança;50;274;19
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;Não-liderança;638;1388;143
08.170.849/0001-15;2023-12-31;17;135989;DESKTOP S.A.;Liderança;96;233;21
08.170.849/0001-15;2023-12-31;17;135989;DESKTOP S.A.;Não-liderança;2013;1054;74
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;Liderança;52;265;41
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;Não-liderança;842;1074;267
08.312.229/0001-73;2023-12-31;8;137519;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Liderança;1;48;8
08.312.229/0001-73;2023-12-31;8;137519;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Não-liderança;283;561;179
08.324.196/0001-81;2023-12-31;9;136190;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Liderança;3;54;13
08.324.196/0001-81;2023-12-31;9;136190;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Não-liderança;226;654;73
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;Liderança;304;1004;75
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;Não-liderança;5821;8606;2483
08.364.948/0001-38;2023-12-31;7;135895;ALUPAR INVESTIMENTO S/A;Liderança;0;11;5
08.364.948/0001-38;2023-12-31;7;135895;ALUPAR INVESTIMENTO S/A;Não-liderança;6;30;0
08.397.078/0001-01;2023-12-31;6;136026;GSH CORP PARTICIPAÇÕES S.A.;Liderança;38;181;9
08.397.078/0001-01;2023-12-31;6;136026;GSH CORP PARTICIPAÇÕES S.A.;Não-liderança;615;920;80
08.402.943/0001-52;2023-12-31;3;137765;GUARARAPES CONFECCOES S.A.;Liderança;336;1486;61
08.402.943/0001-52;2023-12-31;3;137765;GUARARAPES CONFECCOES S.A.;Não-liderança;15488;12813;971
08.424.178/0001-71;2023-12-31;1;127296;TECBLU TECELAGEM BLUMENAU S.A.;Liderança;0;0;1
08.424.178/0001-71;2023-12-31;1;127296;TECBLU TECELAGEM BLUMENAU S.A.;Não-liderança;0;0;1
08.467.115/0001-00;2023-12-31;10;137686;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Liderança;1;58;5
08.467.115/0001-00;2023-12-31;10;137686;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Não-liderança;26;681;199
08.560.444/0001-93;2023-12-31;6;135934;CIA CELG DE PARTICIPACOES - CELGPAR;Liderança;2;12;4
08.560.444/0001-93;2023-12-31;6;135934;CIA CELG DE PARTICIPACOES - CELGPAR;Não-liderança;12;89;24
08.574.411/0001-00;2023-12-31;5;137653;PRÁTICA PRODUTOS S.A.;Liderança;8;62;15
08.574.411/0001-00;2023-12-31;5;137653;PRÁTICA PRODUTOS S.A.;Não-liderança;216;275;22
08.764.621/0001-53;2023-12-31;3;130729;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;Liderança;0;7;9
08.764.621/0001-53;2023-12-31;3;130729;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;Não-liderança;24;40;3
08.773.135/0001-00;2023-12-31;12;136052;2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;7;29;5
08.773.135/0001-00;2023-12-31;12;136052;2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;41;71;1
08.773.191/0001-36;2023-12-31;3;136984;BRASILIANA PARTICIPAÇÕES S/A;Liderança;0;1;0
08.773.191/0001-36;2023-12-31;3;136984;BRASILIANA PARTICIPAÇÕES S/A;Não-liderança;0;1;0
08.795.211/0001-70;2023-12-31;6;136568;MAESTRO LOCADORA DE VEICULOS S.A.;Liderança;2;10;9
08.795.211/0001-70;2023-12-31;6;136568;MAESTRO LOCADORA DE VEICULOS S.A.;Não-liderança;15;32;8
08.797.760/0001-83;2023-12-31;10;137337;CURY CONSTRUTORA E INCORPORADORA S.A.;Liderança;13;81;17
08.797.760/0001-83;2023-12-31;10;137337;CURY CONSTRUTORA E INCORPORADORA S.A.;Não-liderança;541;850;189
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;Liderança;7;85;7
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;Não-liderança;101;142;14
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;Liderança;188;1105;133
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;Não-liderança;2701;8950;2528
08.810.422/0001-34;2023-12-31;1;128027;GUARARAPES PAINÉIS S.A.;Liderança;2;53;17
08.810.422/0001-34;2023-12-31;1;128027;GUARARAPES PAINÉIS S.A.;Não-liderança;246;327;39
08.811.643/0001-27;2023-12-31;6;137607;TRISUL S.A.;Liderança;25;25;21
08.811.643/0001-27;2023-12-31;6;137607;TRISUL S.A.;Não-liderança;99;97;97
08.902.291/0001-15;2023-12-31;4;135595;CSN MINERAÇÃO S.A.;Liderança;16;233;55
08.902.291/0001-15;2023-12-31;4;135595;CSN MINERAÇÃO S.A.;Não-liderança;2762;3967;656
08.935.054/0001-50;2023-12-31;2;133497;MULTINER S/A;Liderança;0;8;1
08.935.054/0001-50;2023-12-31;2;133497;MULTINER S/A;Não-liderança;6;10;2
09.041.168/0001-10;2023-12-31;9;136085;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;Liderança;7;67;4
09.041.168/0001-10;2023-12-31;9;136085;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;Não-liderança;165;263;97
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;Liderança;11;100;9
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;Não-liderança;224;401;22
09.053.134/0001-45;2023-12-31;5;133317;ELFA MEDICAMENTOS S.A.;Liderança;16;248;35
09.053.134/0001-45;2023-12-31;5;133317;ELFA MEDICAMENTOS S.A.;Não-liderança;963;1431;136
09.054.385/0001-44;2023-12-31;1;127468;INBRANDS S.A.;Liderança;30;229;37
09.054.385/0001-44;2023-12-31;1;127468;INBRANDS S.A.;Não-liderança;881;880;207
09.112.685/0001-32;2023-12-31;6;136743;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;0;2;0
09.112.685/0001-32;2023-12-31;6;136743;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;1;4;0
09.114.805/0001-30;2023-12-31;13;137832;OCEANPACT SERVIÇOS MARITIMOS S.A.;Liderança;96;356;102
09.114.805/0001-30;2023-12-31;13;137832;OCEANPACT SERVIÇOS MARITIMOS S.A.;Não-liderança;268;1037;164
09.146.451/0001-06;2023-12-31;8;135850;KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.;Liderança;0;6;0
09.146.451/0001-06;2023-12-31;8;135850;KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.;Não-liderança;221;330;65
09.229.201/0001-30;2023-12-31;7;135939;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;Liderança;111;1449;264
09.229.201/0001-30;2023-12-31;7;135939;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;Não-liderança;33936;82366;22657
09.257.877/0001-37;2023-12-31;9;136086;FERROVIA NORTE SUL S/A;Liderança;4;33;0
09.257.877/0001-37;2023-12-31;9;136086;FERROVIA NORTE SUL S/A;Não-liderança;170;503;29
09.267.996/0001-70;2023-12-31;9;137987;YUNY INCORPORADORA HOLDING S.A.;Liderança;0;28;2
09.267.996/0001-70;2023-12-31;9;137987;YUNY INCORPORADORA HOLDING S.A.;Não-liderança;15;23;2
09.288.252/0001-32;2023-12-31;15;138415;ANIMA HOLDING S.A.;Liderança;149;1086;164
09.288.252/0001-32;2023-12-31;15;138415;ANIMA HOLDING S.A.;Não-liderança;3888;9668;2695
09.295.063/0001-97;2023-12-31;3;137795;TECHNOS S.A.;Liderança;17;42;8
09.295.063/0001-97;2023-12-31;3;137795;TECHNOS S.A.;Não-liderança;33;306;22
09.305.994/0001-29;2023-12-31;14;137785;AZUL S.A.;Liderança;137;2255;506
09.305.994/0001-29;2023-12-31;14;137785;AZUL S.A.;Não-liderança;2875;7688;786
09.346.601/0001-25;2023-12-31;17;137720;B3 S.A. - BRASIL, BOLSA, BALCÃO;Liderança;6;487;42
09.346.601/0001-25;2023-12-31;17;137720;B3 S.A. - BRASIL, BOLSA, BALCÃO;Não-liderança;845;1247;108
09.347.516/0001-81;2023-12-31;12;136820;ELETROMIDIA S.A.;Liderança;8;103;13
09.347.516/0001-81;2023-12-31;12;136820;ELETROMIDIA S.A.;Não-liderança;162;371;29
09.527.023/0001-23;2023-12-31;6;139422;ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;Liderança;57;474;102
09.527.023/0001-23;2023-12-31;6;139422;ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;Não-liderança;1855;5207;1259
09.611.768/0001-76;2023-12-31;4;138011;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Liderança;8;21;5
09.611.768/0001-76;2023-12-31;4;138011;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Não-liderança;301;393;95
09.813.204/0001-16;2023-12-31;2;134424;W2W E-COMMERCE DE VINHOS S.A.;Liderança;13;66;2
09.813.204/0001-16;2023-12-31;2;134424;W2W E-COMMERCE DE VINHOS S.A.;Não-liderança;297;167;12
10.139.870/0001-08;2023-12-31;5;146843;NEOGRID PARTICIPAÇÕES S.A.;Liderança;12;113;2
10.139.870/0001-08;2023-12-31;5;146843;NEOGRID PARTICIPAÇÕES S.A.;Não-liderança;346;422;14
10.285.590/0001-08;2023-12-31;10;137695;GRUPO DE MODA SOMA S.A.;Liderança;135;939;63
10.285.590/0001-08;2023-12-31;10;137695;GRUPO DE MODA SOMA S.A.;Não-liderança;7091;4707;1041
10.324.624/0001-18;2023-12-31;5;137863;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;Liderança;2;150;16
10.324.624/0001-18;2023-12-31;5;137863;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;Não-liderança;314;1431;243
10.338.320/0001-00;2023-12-31;5;135815;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;Liderança;0;2;0
10.338.320/0001-00;2023-12-31;5;135815;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;Não-liderança;2;3;0
10.488.244/0001-19;2023-12-31;2;136018;INFRASEC SECURITIZADORA S.A.;Liderança;0;0;1
10.488.244/0001-19;2023-12-31;2;136018;INFRASEC SECURITIZADORA S.A.;Não-liderança;0;0;1
10.502.676/0001-37;2023-12-31;1;127426;TERMELÉTRICA PERNAMBUCO III S.A.;Liderança;0;7;3
10.502.676/0001-37;2023-12-31;1;127426;TERMELÉTRICA PERNAMBUCO III S.A.;Não-liderança;2;25;2
10.571.175/0001-02;2023-12-31;10;136844;URBA DESENVOLVIMENTO URBANO S.A.;Liderança;11;65;5
10.571.175/0001-02;2023-12-31;10;136844;URBA DESENVOLVIMENTO URBANO S.A.;Não-liderança;165;160;65
10.629.105/0001-68;2023-12-31;19;136834;PRIO S.A.;Liderança;3;115;21
10.629.105/0001-68;2023-12-31;19;136834;PRIO S.A.;Não-liderança;107;345;54
10.635.691/0001-53;2023-12-31;2;144513;VIARONDON CONCESSIONÁRIA DE RODOVIA S.A.;Liderança;22;59;7
10.635.691/0001-53;2023-12-31;2;144513;VIARONDON CONCESSIONÁRIA DE RODOVIA S.A.;Não-liderança;200;290;67
10.739.356/0001-03;2023-12-31;8;133425;BRBI BR PARTNERS S.A;Liderança;2;37;11
10.739.356/0001-03;2023-12-31;8;133425;BRBI BR PARTNERS S.A;Não-liderança;75;23;3
10.760.260/0001-19;2023-12-31;23;138038;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;Liderança;18;325;26
10.760.260/0001-19;2023-12-31;23;138038;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;Não-liderança;506;1459;98
10.807.374/0001-77;2023-12-31;4;131521;BOA SAFRA SEMENTES S.A.;Liderança;3;24;2
10.807.374/0001-77;2023-12-31;4;131521;BOA SAFRA SEMENTES S.A.;Não-liderança;184;193;26
10.835.932/0001-08;2023-12-31;9;135992;CIA ENERGETICA DE PERNAMBUCO - CELPE;Liderança;6;169;13
10.835.932/0001-08;2023-12-31;9;135992;CIA ENERGETICA DE PERNAMBUCO - CELPE;Não-liderança;830;2411;118
10.851.805/0001-00;2023-12-31;1;130805;FLEX GESTÃO DE RELACIONAMENTOS S.A.-EM RECUPERAÇÃO JUDICIAL;Liderança;76;264;32
10.851.805/0001-00;2023-12-31;1;130805;FLEX GESTÃO DE RELACIONAMENTOS S.A.-EM RECUPERAÇÃO JUDICIAL;Não-liderança;2463;1589;263
11.257.352/0001-43;2023-12-31;2;128319;BSI CAPITAL SECURITIZADORA S.A.;Liderança;0;2;0
11.257.352/0001-43;2023-12-31;2;128319;BSI CAPITAL SECURITIZADORA S.A.;Não-liderança;2;0;0
11.284.204/0001-18;2023-12-31;7;135896;YOU INC INCORPORADORA E PARTICIPAÇÃO S.A;Liderança;29;56;8
11.284.204/0001-18;2023-12-31;7;135896;YOU INC INCORPORADORA E PARTICIPAÇÃO S.A;Não-liderança;29;12;2
11.421.994/0001-36;2023-12-31;18;137737;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;Liderança;9;81;21
11.421.994/0001-36;2023-12-31;18;137737;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;Não-liderança;565;1019;284
11.669.021/0001-10;2023-12-31;14;135683;ENAUTA PARTICIPAÇÕES S.A.;Liderança;0;40;21
11.669.021/0001-10;2023-12-31;14;135683;ENAUTA PARTICIPAÇÕES S.A.;Não-liderança;18;73;15
11.716.471/0001-17;2023-12-31;1;128179;TRX SECURITIZADORA S.A.;Liderança;0;3;0
11.716.471/0001-17;2023-12-31;1;128179;TRX SECURITIZADORA S.A.;Não-liderança;0;2;0
11.721.921/0001-60;2023-12-31;10;136541;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;Liderança;9;163;35
11.721.921/0001-60;2023-12-31;10;136541;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;Não-liderança;211;312;39
11.725.176/0001-27;2023-12-31;5;131125;BOA VISTA SERVIÇOS S.A.;Liderança;11;164;22
11.725.176/0001-27;2023-12-31;5;131125;BOA VISTA SERVIÇOS S.A.;Não-liderança;386;546;58
11.992.680/0001-93;2023-12-31;11;137624;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;Liderança;18;271;31
11.992.680/0001-93;2023-12-31;11;137624;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;Não-liderança;613;1374;125
12.049.631/0001-84;2023-12-31;4;133256;MOURA DUBEUX ENGENHARIA S/A;Liderança;15;105;6
12.049.631/0001-84;2023-12-31;4;133256;MOURA DUBEUX ENGENHARIA S/A;Não-liderança;735;2195;591
12.091.809/0001-55;2023-12-31;26;137857;BRAVA ENERGIA S.A.;Liderança;1;78;62
12.091.809/0001-55;2023-12-31;26;137857;BRAVA ENERGIA S.A.;Não-liderança;48;267;50
12.104.241/0004-02;2023-12-31;16;137913;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;Liderança;66;570;59
12.104.241/0004-02;2023-12-31;16;137913;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;Não-liderança;2236;4072;477
12.108.897/0001-50;2023-12-31;8;137392;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;Liderança;119;596;61
12.108.897/0001-50;2023-12-31;8;137392;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;Não-liderança;1357;1445;190
12.181.987/0001-77;2023-12-31;16;138479;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;Liderança;6;89;14
12.181.987/0001-77;2023-12-31;16;138479;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;Não-liderança;321;324;50
12.300.288/0001-07;2023-12-31;8;136892;NORTE ENERGIA S.A.;Liderança;0;7;11
12.300.288/0001-07;2023-12-31;8;136892;NORTE ENERGIA S.A.;Não-liderança;74;241;36
12.420.164/0001-57;2023-12-31;15;137746;CM HOSPITALAR S.A;Liderança;90;469;28
12.420.164/0001-57;2023-12-31;15;137746;CM HOSPITALAR S.A;Não-liderança;2294;2709;407
12.528.708/0001-07;2023-12-31;11;135653;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;Liderança;75;245;9
12.528.708/0001-07;2023-12-31;11;135653;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;Não-liderança;3306;2576;89
12.648.266/0001-24;2023-12-31;14;138892;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;Liderança;502;1313;353
12.648.266/0001-24;2023-12-31;14;138892;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;Não-liderança;2687;7036;1894
12.648.327/0001-53;2023-12-31;21;137833;HIDROVIAS DO BRASIL S.A.;Liderança;3;57;4
12.648.327/0001-53;2023-12-31;21;137833;HIDROVIAS DO BRASIL S.A.;Não-liderança;30;74;6
13.009.717/0001-46;2023-12-31;9;135893;BCO ESTADO DE SERGIPE S.A. - BANESE;Liderança;4;294;64
13.009.717/0001-46;2023-12-31;9;135893;BCO ESTADO DE SERGIPE S.A. - BANESE;Não-liderança;92;312;84
13.217.485/0001-11;2023-12-31;8;137191;GRUPO SBF S.A.;Liderança;470;990;15
13.217.485/0001-11;2023-12-31;8;137191;GRUPO SBF S.A.;Não-liderança;5702;2499;106
13.270.520/0001-66;2023-12-31;13;137760;KORA SAÚDE PARTICIPAÇÕES S.A.;Liderança;59;287;31
13.270.520/0001-66;2023-12-31;13;137760;KORA SAÚDE PARTICIPAÇÕES S.A.;Não-liderança;3880;5067;694
13.444.994/0001-87;2023-12-31;2;128486;MLOG S.A.;Liderança;13;67;46
13.444.994/0001-87;2023-12-31;2;128486;MLOG S.A.;Não-liderança;53;169;72
13.522.948/0001-59;2023-12-31;4;136618;SAFIRA HOLDING S.A.;Liderança;4;10;2
13.522.948/0001-59;2023-12-31;4;136618;SAFIRA HOLDING S.A.;Não-liderança;73;20;0
13.574.594/0001-96;2023-12-31;16;136609;ZAMP SA;Liderança;90;224;11
13.574.594/0001-96;2023-12-31;16;136609;ZAMP SA;Não-liderança;14757;1401;41
13.584.310/0001-42;2023-12-31;3;129865;SUGOI S.A.;Liderança;3;5;2
13.584.310/0001-42;2023-12-31;3;129865;SUGOI S.A.;Não-liderança;41;43;12
13.783.221/0004-78;2023-12-31;3;134131;MADERO INDÚSTRIA E COMÉRCIO S.A.;Liderança;1243;429;12
13.783.221/0004-78;2023-12-31;3;134131;MADERO INDÚSTRIA E COMÉRCIO S.A.;Não-liderança;4750;953;62
14.110.585/0001-07;2023-12-31;15;137804;MÉLIUZ S.A.;Liderança;30;72;1
14.110.585/0001-07;2023-12-31;15;137804;MÉLIUZ S.A.;Não-liderança;221;116;1
14.127.813/0001-51;2023-12-31;26;136832;ARANDU INVESTIMENTOS S.A.;Liderança;7;27;2
14.127.813/0001-51;2023-12-31;26;136832;ARANDU INVESTIMENTOS S.A.;Não-liderança;98;57;2
14.191.427/0001-29;2023-12-31;1;128049;GRANBIO INVESTIMENTOS S.A.;Liderança;0;7;4
14.191.427/0001-29;2023-12-31;1;128049;GRANBIO INVESTIMENTOS S.A.;Não-liderança;8;17;3
14.388.334/0001-99;2023-12-31;11;135518;PARANA BCO S.A.;Liderança;3;78;10
14.388.334/0001-99;2023-12-31;11;135518;PARANA BCO S.A.;Não-liderança;98;202;9
14.776.142/0001-50;2023-12-31;18;136557;WESTWING COMÉRCIO VAREJISTA S.A.;Liderança;33;77;2
14.776.142/0001-50;2023-12-31;18;136557;WESTWING COMÉRCIO VAREJISTA S.A.;Não-liderança;367;219;7
14.785.152/0001-51;2023-12-31;8;137799;HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Liderança;0;22;2
14.785.152/0001-51;2023-12-31;8;137799;HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Não-liderança;31;14;0
14.807.945/0001-24;2023-12-31;8;137005;SANSUY S.A. INDUSTRIA DE PLASTICOS;Liderança;0;14;39
14.807.945/0001-24;2023-12-31;8;137005;SANSUY S.A. INDUSTRIA DE PLASTICOS;Não-liderança;448;660;256
14.882.295/0001-81;2023-12-31;8;136106;CBO HOLDING S.A.;Liderança;10;282;112
14.882.295/0001-81;2023-12-31;8;136106;CBO HOLDING S.A.;Não-liderança;233;908;214
14.998.371/0001-19;2023-12-31;5;136057;J. MACEDO S.A.;Liderança;3;189;67
14.998.371/0001-19;2023-12-31;5;136057;J. MACEDO S.A.;Não-liderança;476;1405;447
15.073.274/0001-88;2023-12-31;2;128440;PPLA PARTICIPATIONS LTD.;Liderança;0;1;1
15.073.274/0001-88;2023-12-31;2;128440;PPLA PARTICIPATIONS LTD.;Não-liderança;0;0;1
15.101.405/0001-93;2023-12-31;5;131017;CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA;Liderança;0;2;3
15.101.405/0001-93;2023-12-31;5;131017;CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA;Não-liderança;0;1;0
15.115.504/0001-24;2023-12-31;6;136974;TRONOX PIGMENTOS DO BRASIL S.A.;Liderança;0;9;6
15.115.504/0001-24;2023-12-31;6;136974;TRONOX PIGMENTOS DO BRASIL S.A.;Não-liderança;43;186;98
15.139.629/0001-94;2023-12-31;14;135917;CIA ELETRICIDADE EST. DA BAHIA - COELBA;Liderança;16;249;39
15.139.629/0001-94;2023-12-31;14;135917;CIA ELETRICIDADE EST. DA BAHIA - COELBA;Não-liderança;1109;3890;170
15.141.799/0001-03;2023-12-31;5;136575;CIA FERRO LIGAS DA BAHIA - FERBASA;Liderança;0;104;51
15.141.799/0001-03;2023-12-31;5;136575;CIA FERRO LIGAS DA BAHIA - FERBASA;Não-liderança;507;2036;491
15.144.017/0001-90;2023-12-31;9;134209;CIA SEGUROS ALIANCA DA BAHIA;Liderança;1;3;4
15.144.017/0001-90;2023-12-31;9;134209;CIA SEGUROS ALIANCA DA BAHIA;Não-liderança;2;12;16
