CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Posicao;Quantidade_Ate30Anos;Quantidade_30a50Anos;Quantidade_Acima50Anos
01.417.222/0001-77;2023-12-31;6;136053;MRS LOGISTICA S.A.;Não-liderança;1639;3950;514
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Liderança;5;119;7
01.545.826/0001-07;2023-12-31;27;138489;GAFISA S.A.;Não-liderança;104;198;36
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Liderança;0;0;1
01.548.981/0001-79;2023-12-31;3;136132;INVESTIMENTOS BEMGE S.A.;Não-liderança;0;0;1
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Liderança;33;344;44
01.599.101/0001-93;2023-12-31;32;137735;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Não-liderança;2380;2408;422
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Liderança;75;761;152
01.637.895/0001-32;2023-12-31;8;133933;VOTORANTIM CIMENTOS S.A.;Não-liderança;1442;4749;1216
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Liderança;225;2490;318
01.838.723/0001-27;2023-12-31;11;135972;BRF S.A.;Não-liderança;29523;51819;11848
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Liderança;0;0;0
01.851.771/0001-55;2023-12-31;2;136558;524 PARTICIPACOES S.A.;Não-liderança;0;0;0
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Liderança;83;265;42
01.896.779/0001-38;2023-12-31;3;137625;CSU DIGITAL S.A.;Não-liderança;3052;1549;179
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Liderança;0;5;1
01.917.818/0001-36;2023-12-31;7;133954;LIGHT ENERGIA S.A.;Não-liderança;33;122;43
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Liderança;0;4;3
01.938.783/0001-11;2023-12-31;13;137376;CIA PARTICIPACOES ALIANCA DA BAHIA;Não-liderança;5;11;11
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Liderança;0;1;1
01.957.772/0001-89;2023-12-31;2;130691;SUL 116 PARTICIPACOES S.A.;Não-liderança;0;3;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Liderança;0;0;0
02.062.747/0001-08;2023-12-31;3;136561;SUDESTE S.A.;Não-liderança;0;0;0
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Liderança;31;1086;149
02.149.205/0001-69;2023-12-31;10;137754;PORTO SEGURO S.A.;Não-liderança;3647;7824;718
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Liderança;0;0;1
02.162.616/0001-94;2023-12-31;2;127264;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Não-liderança;0;0;1
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Liderança;2;48;31
02.193.750/0001-52;2023-12-31;4;136564;DEXXOS PARTICIPAÇÕES S.A.;Não-liderança;154;435;161
