CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Quantidade_Pessoa_Fisica;Quantidade_Pessoa_Juridica;Quantidade_Investidor
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Debêntures;30599;204;1628
00.001.180/0001-26;2023-12-31;23;136627;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Nota Comercial;0;1;4303
00.192.769/0001-59;2023-12-31;1;127620;NEUMARKT TRADE AND FINANCIAL CENTER S/A;Debêntures;0;1;0
00.194.724/0001-13;2023-12-31;7;137743;AUREN OPERAÇÕES S.A.;Debêntures;5446;0;749
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Certificado de Recebíveis do Agronegócio;0;0;7
00.242.184/0001-04;2023-12-31;9;137763;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Debêntures;0;0;212
00.383.281/0001-09;2023-12-31;4;137655;BNDES PARTICIPACOES S.A. - BNDESPAR;Debêntures;0;0;0
00.389.481/0001-79;2023-12-31;6;136664;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Debêntures;3;2;302
00.622.416/0001-41;2023-12-31;3;131091;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Debêntures;0;1;0
00.776.574/0001-56;2023-12-31;14;138478;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Debêntures;3286;1598;1083
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Debêntures;23278;206;801
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;Nota Comercial;0;2;136
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;Debêntures;0;1;0
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;Nota Comercial;0;1;0
00.897.864/0001-58;2023-12-31;1;124388;SANTA CATARINA PART INVEST SA;Debêntures;1;31;0
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;Debêntures;0;2;56
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;Debêntures Conversíveis;0;5;0
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Debêntures;0;201;1
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;Debêntures;15890;30;211
01.107.327/0001-20;2023-12-31;6;136712;BBM LOGÍSTICA S.A.;Debêntures;0;8;38
01.319.044/0001-41;2023-12-31;1;127623;WTC AMAZONAS SUITE HOTEL S.A.;Debêntures;0;153153;0
